dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
breast-w,grid,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,9.026100158691406,6,100
breast-w,random,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857144,6.403935408357594,-7.1051727576782335,9.170581817626951,13,100
breast-w,bo_tpe,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857144,7.164750018200413,-7.408022102554927,7.879159688949585,12,100
breast-w,pso,0,0,0,42,0,baseline,0.9695945945945944,0.9571428571428572,4.856174727729076,-5.911778948911404,6.483482122421265,1,100
breast-w,de,0,0,0,42,0,baseline,0.9695785070785072,0.9642857142857144,2.1896743771209075,-5.253698035516349,6.610821008682251,1,100
breast-w,ga,0,0,0,42,0,baseline,0.9695945945945944,0.9571428571428572,8.768934611418802,-7.825304631994147,7.158394813537598,1,100
breast-w,sa,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857144,5.952735304417031,-7.002345787399042,9.306842803955078,20,100
breast-w,grid,1,1,1,42,1,baseline,0.9767535392535394,0.95,6.111111111111111,-7.0,7.7190282344818115,7,100
breast-w,random,1,1,1,42,1,baseline,0.9767535392535394,0.95,2.9353494846133987,-5.301298787939576,10.689031600952148,5,100
breast-w,bo_tpe,1,1,1,42,1,baseline,0.9767535392535394,0.95,2.9353494846133987,-5.301298787939576,8.501803874969482,5,100
breast-w,pso,1,1,1,42,1,baseline,0.9767535392535394,0.95,5.873233287877447,-7.608532144190182,6.692750215530396,1,100
breast-w,de,1,1,1,42,1,baseline,0.9767535392535394,0.95,10.00729345260105,-9.952642356251282,5.9589033126831055,3,100
breast-w,ga,1,1,1,42,1,baseline,0.9767535392535394,0.95,10.00729345260105,-9.952642356251282,7.258978366851807,3,100
breast-w,sa,1,1,1,42,1,baseline,0.9767535392535394,0.95,5.933698622021118,-7.271093265912203,9.28504753112793,2,100
breast-w,grid,2,2,2,42,2,baseline,0.9678088803088803,0.9571428571428572,-5.0,-5.0,7.524551630020142,6,100
breast-w,random,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-0.9070273192431504,-3.853122605688053,6.81867790222168,2,100
breast-w,bo_tpe,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-0.9070273192431504,-3.853122605688053,6.135190486907959,2,100
breast-w,pso,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-2.3450222697931133,-5.543245467247072,5.466663599014282,2,100
breast-w,de,2,2,2,42,2,baseline,0.9678088803088803,0.9642857142857144,6.378885592175776,-13.345513041568257,5.457970857620239,1,100
breast-w,ga,2,2,2,42,2,baseline,0.9678088803088803,0.9642857142857144,4.444695670040389,-11.079899562355257,5.629916667938232,1,100
breast-w,sa,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-1.946766275621662,-4.557828952483224,6.765841960906982,15,100
breast-w,grid,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,10.555555555555555,-13.0,6.164885997772217,7,100
breast-w,random,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,9.821648127991253,-12.155394215373107,6.038633823394775,2,100
breast-w,bo_tpe,3,3,3,42,3,baseline,0.9803410553410554,0.9357142857142856,0.4398212533211523,-5.716030623076575,6.092507123947144,2,100
breast-w,pso,3,3,3,42,3,baseline,0.9803410553410554,0.9357142857142856,1.1369290751611218,-6.050299243454013,5.762408494949341,2,100
breast-w,de,3,3,3,42,3,baseline,0.978555341055341,0.9285714285714286,9.44329616284235,-11.063122357761518,6.235275030136108,4,100
breast-w,ga,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,10.536998989312332,-13.087177502124897,5.495257139205933,4,100
breast-w,sa,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,8.199148033677552,-10.784190700043473,5.645060062408447,4,100
breast-w,grid,4,4,4,42,4,baseline,0.97493564993565,0.95,8.333333333333334,-9.0,6.591732263565064,6,100
breast-w,random,4,4,4,42,4,baseline,0.97493564993565,0.95,8.954576491945417,-11.110389079553226,6.336940288543701,3,100
breast-w,bo_tpe,4,4,4,42,4,baseline,0.97493564993565,0.95,8.954576491945417,-11.110389079553226,5.607831954956055,3,100
breast-w,pso,4,4,4,42,4,baseline,0.9731660231660232,0.95,-1.987273100331656,-5.661413706687833,5.7724339962005615,7,100
breast-w,de,4,4,4,42,4,baseline,0.9749517374517376,0.9571428571428572,1.998747996445096,-10.914738818136932,6.280460357666016,2,100
breast-w,ga,4,4,4,42,4,baseline,0.97493564993565,0.95,11.038024139716146,-13.275371555902415,5.470812559127808,2,100
breast-w,sa,4,4,4,42,4,baseline,0.97493564993565,0.95,13.06592617596066,-14.45919802269319,5.888017892837524,10,100
breast-w,grid,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,6.111111111111111,-15.0,6.505903244018555,6,100
breast-w,random,5,5,5,42,5,baseline,0.9731660231660232,0.9642857142857144,2.3066603786880613,-6.397056418117984,7.150487184524536,7,100
breast-w,bo_tpe,5,5,5,42,5,baseline,0.9731660231660232,0.9642857142857144,3.0908816567120327,-7.341647047205406,6.326352119445801,7,100
breast-w,pso,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,-2.995409509904796,-6.152165897672621,6.452212572097778,1,100
breast-w,de,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,5.30651122084284,-13.844140128380564,6.181108951568604,2,100
breast-w,ga,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,2.348542010807733,-5.9714216981817385,5.626327037811279,2,100
breast-w,sa,5,5,5,42,5,baseline,0.9606499356499356,0.95,13.080255989713605,-0.6263500969076877,5.956552267074585,6,100
breast-w,grid,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,1.666666666666667,-9.0,6.726062059402466,6,100
breast-w,random,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,3.0651259746983968,-11.094879114175916,6.228230237960815,2,100
breast-w,bo_tpe,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,-2.966215587060308,-6.077552486718132,7.79856014251709,2,100
breast-w,pso,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,-2.5538221197758397,-6.3751953812845255,6.146118640899658,3,100
breast-w,de,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,0.1174575182242891,-8.351882787167042,6.017981290817261,1,100
breast-w,ga,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,2.381344795907565,-9.949124167340402,5.937075614929199,1,100
breast-w,sa,6,6,6,42,6,baseline,0.9695785070785072,0.9642857142857144,-3.68548486080572,-5.499351249520397,6.70149302482605,2,100
breast-w,grid,7,7,7,42,7,baseline,0.9660070785070788,0.9785714285714284,10.555555555555555,-15.0,6.4336020946502686,6,100
breast-w,random,7,7,7,42,7,baseline,0.9660070785070788,0.9785714285714284,4.0568586509280085,-8.646389413000897,5.990723371505737,2,100
breast-w,bo_tpe,7,7,7,42,7,baseline,0.966023166023166,0.9857142857142858,3.073802219384288,-8.694036112302477,5.5333006381988525,2,100
breast-w,pso,7,7,7,42,7,baseline,0.966023166023166,0.9857142857142858,1.746358587824277,-7.925987873822443,5.250124216079712,1,100
breast-w,de,7,7,7,42,7,baseline,0.966023166023166,0.9857142857142858,0.7575052347344295,-6.988626494112362,6.03065037727356,2,100
breast-w,ga,7,7,7,42,7,baseline,0.966023166023166,0.9857142857142858,4.689743086672992,-12.209708950281314,5.2415406703948975,2,100
breast-w,sa,7,7,7,42,7,baseline,0.966023166023166,0.9857142857142858,2.1233741969994586,-8.091890627042948,5.331698417663574,2,100
breast-w,grid,8,8,8,42,8,baseline,0.9713963963963964,0.9571428571428572,-0.5555555555555554,-7.0,6.065855503082275,6,100
breast-w,random,8,8,8,42,8,baseline,0.971412483912484,0.9571428571428572,6.981725058802788,-2.0233595996234968,7.697693109512329,4,100
breast-w,bo_tpe,8,8,8,42,8,baseline,0.971412483912484,0.9571428571428572,9.515215547115004,-1.849996665910244,7.828822374343872,4,100
breast-w,pso,8,8,8,42,8,baseline,0.9731821106821108,0.95,1.1992503681438254,-3.6001656355471208,6.414356470108032,1,100
breast-w,de,8,8,8,42,8,baseline,0.9749678249678247,0.95,1.5394455321112144,-3.826009322799684,5.800654411315918,4,100
breast-w,ga,8,8,8,42,8,baseline,0.9731821106821108,0.9571428571428572,0.2444513645542483,-4.3852216605022925,8.27009391784668,2,100
breast-w,sa,8,8,8,42,8,baseline,0.971412483912484,0.9571428571428572,13.733577545832356,-1.8522690094653629,5.258717775344849,4,100
breast-w,grid,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,-0.5555555555555554,-7.0,6.432789325714111,6,100
breast-w,random,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,4.915465862682922,-12.59106847873302,5.2554121017456055,2,100
breast-w,bo_tpe,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,4.915465862682922,-12.59106847873302,5.608137845993042,2,100
breast-w,pso,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,-1.4496640764366608,-4.089623872819255,5.581411838531494,5,100
breast-w,de,9,9,9,42,9,baseline,0.9731660231660232,0.95,4.698886539545761,-13.827224447338065,5.930425405502319,2,100
breast-w,ga,9,9,9,42,9,baseline,0.9731660231660232,0.95,4.698886539545761,-13.827224447338065,5.183499097824097,2,100
breast-w,sa,9,9,9,42,9,baseline,0.9749517374517376,0.9571428571428572,-1.384208171419136,-4.405496226525782,5.714977979660034,5,100
breast-w,grid,10,10,10,42,10,baseline,0.9749195624195626,0.9571428571428572,-0.5555555555555554,-5.0,6.140469789505005,6,100
breast-w,random,10,10,10,42,10,baseline,0.9713642213642212,0.9642857142857144,1.298537436853766,-3.5431594247841964,6.0301597118377686,1,100
breast-w,bo_tpe,10,10,10,42,10,baseline,0.97493564993565,0.9571428571428572,0.1204911110065687,-5.978884108648172,5.662915229797363,1,100
breast-w,pso,10,10,10,42,10,baseline,0.971348133848134,0.9571428571428572,6.5053744050556,-10.222369796229698,5.498859405517578,2,100
breast-w,de,10,10,10,42,10,baseline,0.973133848133848,0.9571428571428572,-0.4777113265094517,-3.3934170121754086,6.265158414840698,3,100
breast-w,ga,10,10,10,42,10,baseline,0.9731499356499358,0.9571428571428572,-0.3457752858859225,-6.442617518692671,6.467228651046753,3,100
breast-w,sa,10,10,10,42,10,baseline,0.971348133848134,0.9642857142857144,10.458844697743183,-13.506339683768068,5.87349271774292,1,100
breast-w,grid,11,11,11,42,11,baseline,0.9749195624195626,0.9428571428571428,-0.5555555555555554,-5.0,6.625021696090698,6,100
breast-w,random,11,11,11,42,11,baseline,0.973133848133848,0.9357142857142856,-1.6982676480954573,-3.61798775117707,6.721900224685669,2,100
breast-w,bo_tpe,11,11,11,42,11,baseline,0.9749195624195626,0.9357142857142856,-0.3007003978318228,-3.2196306926135376,6.1115052700042725,2,100
breast-w,pso,11,11,11,42,11,baseline,0.973133848133848,0.9571428571428572,9.956277946974271,-8.967915254230572,6.204642057418823,2,100
breast-w,de,11,11,11,42,11,baseline,0.9749195624195626,0.9571428571428572,2.065497101208962,-4.351284528917217,6.402481555938721,1,100
breast-w,ga,11,11,11,42,11,baseline,0.9749195624195626,0.9571428571428572,2.065497101208962,-4.351284528917217,5.987050533294678,1,100
breast-w,sa,11,11,11,42,11,baseline,0.973133848133848,0.95,1.805605212927224,-9.152997139929504,6.56493353843689,9,100
breast-w,grid,12,12,12,42,12,baseline,0.9695785070785072,0.95,15.0,-15.0,6.795455694198608,6,100
breast-w,random,12,12,12,42,12,baseline,0.9695785070785072,0.9642857142857144,10.362683081288449,-12.107098443739735,6.773260354995728,2,100
breast-w,bo_tpe,12,12,12,42,12,baseline,0.971348133848134,0.9642857142857144,1.2647105230670574,-5.702407834459938,6.232527732849121,2,100
breast-w,pso,12,12,12,42,12,baseline,0.9695785070785072,0.9642857142857144,10.080990705981757,-11.71292328277154,5.919683933258057,2,100
breast-w,de,12,12,12,42,12,baseline,0.9695785070785072,0.9642857142857144,12.92618747409361,-14.123275457820563,6.797720909118652,3,100
breast-w,ga,12,12,12,42,12,baseline,0.9695785070785072,0.95,12.47305936359979,-13.377579115229782,6.576050758361816,3,100
breast-w,sa,12,12,12,42,12,baseline,0.9695624195624196,0.9642857142857144,1.754018835821054,-6.31535055625593,6.33991265296936,2,100
breast-w,grid,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,3.888888888888889,-9.0,6.701189756393433,6,100
breast-w,random,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,3.742360253016221,-8.875305548739373,6.754160165786743,1,100
breast-w,bo_tpe,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,5.784110601971746,-11.371801353434702,6.42651891708374,1,100
breast-w,pso,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,2.680643189709748,-5.419260425221027,5.699708938598633,1,100
breast-w,de,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,7.275833820942037,-12.33089194892143,6.73700761795044,2,100
breast-w,ga,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,-2.5727214398903464,-5.2463606781046215,6.7257981300354,2,100
breast-w,sa,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,-0.7889345018321229,-4.165678994775062,5.760831117630005,1,100
breast-w,grid,14,14,14,42,14,baseline,0.9677606177606176,0.9571428571428572,3.888888888888889,-13.0,6.808945417404175,6,100
breast-w,random,14,14,14,42,14,baseline,0.9677767052767052,0.9785714285714284,-2.7989368277823434,-5.958235711229902,6.329406261444092,2,100
breast-w,bo_tpe,14,14,14,42,14,baseline,0.9695624195624196,0.9785714285714284,-2.44204617777595,-6.274700952488781,5.563014984130859,2,100
