dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
ozone-8hr,grid,0,0,0,42,0,baseline,0.9422745241136046,0.95069033530572,1.666666666666667,-5.0,62.44365429878235,1,100
ozone-8hr,random,0,0,0,42,0,baseline,0.9422793894058262,0.9388560157790928,8.062166509307968,-10.440751154283925,56.9986412525177,1,100
ozone-8hr,bo_tpe,0,0,0,42,0,baseline,0.9432670437268138,0.940828402366864,7.36384773900465,-10.023570295589051,43.7656626701355,1,100
ozone-8hr,pso,0,0,0,42,0,baseline,0.9442522654016908,0.9447731755424064,7.39953867080725,-9.795568089478548,43.365774154663086,1,100
ozone-8hr,de,0,0,0,42,0,baseline,0.9437584382411968,0.9447731755424064,7.307702229625077,-9.731972917354176,46.3486430644989,1,100
ozone-8hr,ga,0,0,0,42,0,baseline,0.9442510490786352,0.9428007889546351,7.323354079179811,-9.83277062784991,49.05915069580078,1,100
ozone-8hr,sa,0,0,0,42,0,baseline,0.9442522654016908,0.940828402366864,6.919190186056455,-9.379340534127984,59.2208423614502,1,100
ozone-8hr,grid,1,1,1,42,1,baseline,0.9467214012041598,0.9487179487179488,1.666666666666667,-5.0,62.11160516738892,35,100
ozone-8hr,random,1,1,1,42,1,baseline,0.9467189685580488,0.9368836291913216,3.34609604734254,-4.943583087976471,61.16076183319092,1,100
ozone-8hr,bo_tpe,1,1,1,42,1,baseline,0.949188104360518,0.940828402366864,2.4959175676477203,-4.472377369856946,52.06047558784485,5,100
ozone-8hr,pso,1,1,1,42,1,baseline,0.9496807151979564,0.940828402366864,2.849733540852492,-4.416842675461917,54.63176655769348,6,100
ozone-8hr,de,1,1,1,42,1,baseline,0.9486942772000244,0.9428007889546351,2.4375103016030213,-4.701397417217891,65.49902677536011,6,100
ozone-8hr,ga,1,1,1,42,1,baseline,0.9467238338502708,0.9526627218934912,1.0220568082914023,-5.239288861266438,49.78644132614136,3,100
ozone-8hr,sa,1,1,1,42,1,baseline,0.9452423523687892,0.9467455621301776,4.014911848173926,-8.10827229230677,84.00749635696411,1,100
ozone-8hr,grid,2,2,2,42,2,baseline,0.9467214012041598,0.9428007889546351,1.666666666666667,-5.0,63.875248432159424,26,100
