dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
steel-faults,grid,0,0,0,42,0,baseline,0.7506441240535214,0.8071979434447301,1.666666666666667,-3.0,61.091171979904175,37,100
steel-faults,random,0,0,0,42,0,baseline,0.7487127891297585,0.8123393316195373,1.3713790490264728,-2.9866131606537287,55.17774677276611,46,100
steel-faults,bo_tpe,0,0,0,42,0,baseline,0.7538761539259412,0.7994858611825193,1.74511558103773,-3.5729609060124483,53.88537549972534,12,100
steel-faults,pso,0,0,0,42,0,baseline,0.7525733845036822,0.8149100257069408,1.4393636361135675,-2.568486239700837,45.26590299606323,29,100
steel-faults,de,0,0,0,42,0,baseline,0.7480572554714241,0.7763496143958869,13.508457458923289,-9.733060208244698,73.80151414871216,38,100
steel-faults,ga,0,0,0,42,0,baseline,0.7500031117104035,0.7840616966580977,9.732546741616778,-7.999414368376132,49.798774003982544,34,100
steel-faults,sa,0,0,0,42,0,baseline,0.7519344466341666,0.8071979434447301,1.972372599170828,-2.7662839955393665,51.625723123550415,10,100
steel-faults,grid,1,1,1,42,1,baseline,0.7802925007779276,0.7326478149100257,1.666666666666667,-3.0,59.44491600990296,37,100
steel-faults,random,1,1,1,42,1,baseline,0.7744860491650243,0.7326478149100257,1.2684835631848568,-2.5381929179523475,56.23718190193176,6,100
steel-faults,bo_tpe,1,1,1,42,1,baseline,0.7777160045638419,0.7326478149100257,0.7820937543149975,-2.598828373177748,48.5042610168457,30,100
steel-faults,pso,1,1,1,42,1,baseline,0.7789959547764754,0.7249357326478149,2.168138708639052,-3.220550088339707,42.75138688087464,42,100
steel-faults,de,1,1,1,42,1,baseline,0.7790021781972823,0.7275064267352185,1.870681790228014,-3.112894471524488,58.44113540649414,69,100
steel-faults,ga,1,1,1,42,1,baseline,0.7635432009127683,0.7223650385604113,2.32669952731076,-1.9348393341691816,56.84505844116211,27,100
steel-faults,sa,1,1,1,42,1,baseline,0.7699782180271756,0.7275064267352185,2.284096589524569,-3.9655026379222615,62.733373165130615,2,100
steel-faults,grid,2,2,2,42,2,baseline,0.7609542578570688,0.7557840616966581,1.666666666666667,-5.0,59.94603872299194,36,100
