dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
vehicle,grid,0,0,0,42,0,baseline,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,12.097240209579468,75,100
vehicle,random,0,0,0,42,0,baseline,0.8565468409586057,0.8529411764705882,11.275956394049544,-7.862896664754277,11.187160730361938,58,100
vehicle,bo_tpe,0,0,0,42,0,baseline,0.8610021786492374,0.8588235294117647,10.187363480956355,-7.186834566845072,15.454395771026611,12,100
vehicle,pso,0,0,0,42,0,baseline,0.8610021786492374,0.8470588235294118,10.542442328698192,-7.281701845771287,12.32184076309204,34,100
vehicle,de,0,0,0,42,0,baseline,0.8565359477124183,0.8529411764705882,13.680870319124992,-8.188060822283786,15.053597450256348,20,100
vehicle,ga,0,0,0,42,0,baseline,0.8565359477124183,0.8529411764705882,13.266261501312352,-8.003001590340451,17.13597321510315,20,100
vehicle,sa,0,0,0,42,0,baseline,0.8610021786492374,0.8470588235294118,9.283520447454276,-6.596093947598785,11.388100862503052,46,100
vehicle,grid,1,1,1,42,1,baseline,0.8491394335511983,0.8352941176470589,10.555555555555555,-7.0,12.09078884124756,75,100
vehicle,random,1,1,1,42,1,baseline,0.843202614379085,0.8294117647058824,8.275892904395777,-5.731995982950446,12.226212978363035,34,100
vehicle,bo_tpe,1,1,1,42,1,baseline,0.8550435729847494,0.8352941176470589,9.88938243216198,-6.159184733356303,13.225345373153688,13,100
vehicle,pso,1,1,1,42,1,baseline,0.8550544662309368,0.8294117647058824,8.96226025771968,-6.6761335124489145,12.312244415283203,11,100
vehicle,de,1,1,1,42,1,baseline,0.853562091503268,0.8352941176470589,10.519466955695572,-6.827764671070241,11.658791303634644,56,100
vehicle,ga,1,1,1,42,1,baseline,0.8506209150326797,0.8411764705882353,9.098158048799167,-6.9116466341886005,12.579965114593506,47,100
