dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
diabetes,grid,0,0,0,42,0,baseline,0.7736638677862189,0.7987012987012987,3.888888888888889,-9.0,35.76888632774353,25,100
diabetes,random,0,0,0,42,0,baseline,0.7752765560442489,0.7922077922077922,11.419864596958703,-13.252177035724896,23.956350564956665,21,100
diabetes,bo_tpe,0,0,0,42,0,baseline,0.7769159003065441,0.7987012987012987,3.801892849155612,-8.988773550266343,15.11351990699768,21,100
diabetes,pso,0,0,0,42,0,baseline,0.7769025723044116,0.7987012987012987,6.819498768287854,-10.363635417680916,23.24472379684448,7,100
diabetes,de,0,0,0,42,0,baseline,0.7769025723044116,0.7987012987012987,7.805703186982749,-11.458261691589152,16.791707038879395,1,100
diabetes,ga,0,0,0,42,0,baseline,0.7769159003065441,0.8116883116883117,8.138443997164522,-9.536989517443548,15.872569799423218,1,100
diabetes,sa,0,0,0,42,0,baseline,0.7752898840463814,0.7922077922077922,-1.7346766509819465,-5.02322402072914,15.71893072128296,24,100
diabetes,grid,1,1,1,42,1,baseline,0.780021324803412,0.7597402597402597,1.666666666666667,-5.0,28.133773803710938,26,100
diabetes,random,1,1,1,42,1,baseline,0.778381980541117,0.7532467532467533,1.5328980354419226,-5.512954159363034,21.73702812194824,5,100
diabetes,bo_tpe,1,1,1,42,1,baseline,0.7832866853258695,0.7597402597402597,0.3248428283336053,-4.165589518824092,17.595395803451538,5,100
diabetes,pso,1,1,1,42,1,baseline,0.7767959482873519,0.7532467532467533,7.409708462153548,-12.198826615488,16.938108444213867,6,100
diabetes,de,1,1,1,42,1,baseline,0.7767959482873517,0.7597402597402597,10.070262173496133,-14.619795821630628,12.992908000946043,8,100
diabetes,ga,1,1,1,42,1,baseline,0.7783953085432493,0.7467532467532467,5.330076210786721,-7.107544132192792,12.101548671722412,8,100
diabetes,sa,1,1,1,42,1,baseline,0.7767959482873519,0.7597402597402597,6.69296978492607,-10.939005154883816,38.0023934841156,3,100
diabetes,grid,2,2,2,42,2,baseline,0.757270425163268,0.8051948051948052,1.666666666666667,-9.0,20.662984371185303,25,100
diabetes,random,2,2,2,42,2,baseline,0.757297081167533,0.8376623376623377,2.01743802603281,-5.082397704160453,18.11386203765869,2,100
diabetes,bo_tpe,2,2,2,42,2,baseline,0.7588964414234306,0.8246753246753247,1.7941627908734414,-8.384988674753306,11.270808219909668,2,100
diabetes,pso,2,2,2,42,2,baseline,0.7588964414234306,0.8246753246753247,0.0839847364477006,-7.00085914112722,16.323695182800293,3,100
diabetes,de,2,2,2,42,2,baseline,0.7588964414234306,0.8181818181818182,3.652615816095743,-10.151574422515134,19.9746835231781,2,100
diabetes,ga,2,2,2,42,2,baseline,0.7572837531654004,0.8376623376623377,3.138629392716717,-5.848108332878497,19.474640130996704,2,100
