dataset,optimizer,seed,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
ozone-8hr,grid,0,0.9422745241136046,0.95069033530572,1.666666666666667,-5.0,59.49976468086243,1,100
ozone-8hr,random,0,0.9422793894058262,0.9388560157790928,8.062166509307968,-10.440751154283925,55.49913454055786,1,100
ozone-8hr,bo_tpe,0,0.9432670437268138,0.940828402366864,7.36384773900465,-10.023570295589051,42.322092056274414,1,100
ozone-8hr,pso,0,0.9442522654016908,0.9447731755424064,7.39953867080725,-9.795568089478548,41.634087324142456,1,100
ozone-8hr,de,0,0.9437584382411968,0.9447731755424064,7.307702229625077,-9.731972917354176,44.63102984428406,1,100
ozone-8hr,ga,0,0.9442510490786352,0.9428007889546351,7.323354079179811,-9.83277062784991,46.19353866577149,1,100
ozone-8hr,grid,1,0.9467214012041598,0.9487179487179488,1.666666666666667,-5.0,58.87451982498169,35,100
ozone-8hr,random,1,0.9467189685580488,0.9368836291913216,3.34609604734254,-4.943583087976471,57.83935904502869,1,100
ozone-8hr,bo_tpe,1,0.949188104360518,0.940828402366864,2.4959175676477203,-4.472377369856946,49.594748735427856,5,100
ozone-8hr,pso,1,0.9496807151979564,0.940828402366864,2.849733540852492,-4.416842675461917,51.97493171691895,6,100
ozone-8hr,de,1,0.9486942772000244,0.9428007889546351,2.4375103016030213,-4.701397417217891,62.346434116363525,6,100
ozone-8hr,ga,1,0.9467238338502708,0.9526627218934912,1.0220568082914023,-5.239288861266438,46.387526750564575,3,100
ozone-8hr,grid,2,0.9467214012041598,0.9428007889546351,1.666666666666667,-5.0,58.10193967819214,26,100
ozone-8hr,random,2,0.9472164446877092,0.9428007889546351,1.637474250797517,-6.3337530777714015,48.30501961708069,2,100
ozone-8hr,bo_tpe,2,0.9467262664963814,0.930966469428008,12.257482550383832,-12.868929372655954,42.32451391220093,2,100
ozone-8hr,pso,2,0.9457446937906708,0.9270216962524654,13.455332286064513,-11.979397025433656,48.37490725517273,1,100
ozone-8hr,de,2,0.9472152283646535,0.9447731755424064,1.919213311434662,-6.020966368397001,52.2751030921936,2,100
ozone-8hr,ga,2,0.9482004500395306,0.9447731755424064,1.602220417177209,-5.8008124757476125,62.64637470245361,2,100
ozone-8hr,grid,3,0.9472091467493768,0.9428007889546351,6.111111111111111,-9.0,71.07318377494812,26,100
ozone-8hr,random,3,0.9477041902329258,0.9428007889546351,4.67171064703173,-8.480828177019,52.48658466339111,1,100
ozone-8hr,bo_tpe,3,0.9477054065559812,0.9428007889546351,9.769937902937558,-11.38322631268074,38.258121728897095,1,100
ozone-8hr,pso,3,0.948690628230858,0.9428007889546351,8.889721539436275,-10.936264903105082,44.67195892333984,11,100
ozone-8hr,de,3,0.9477041902329258,0.940828402366864,9.44329616284235,-11.063122357761518,51.7518801689148,2,100
