dataset,optimizer,seed,target,reference,bar,evals_to_target,reached
banknote,bo_tpe,0,0.9,1.0,0.9,1,True
banknote,bo_tpe,0,0.95,1.0,0.95,1,True
banknote,bo_tpe,0,0.98,1.0,0.98,1,True
banknote,bo_tpe,1,0.9,1.0,0.9,1,True
banknote,bo_tpe,1,0.95,1.0,0.95,1,True
banknote,bo_tpe,1,0.98,1.0,0.98,1,True
banknote,bo_tpe,2,0.9,1.0,0.9,2,True
banknote,bo_tpe,2,0.95,1.0,0.95,2,True
banknote,bo_tpe,2,0.98,1.0,0.98,2,True
banknote,bo_tpe,3,0.9,1.0,0.9,1,True
banknote,bo_tpe,3,0.95,1.0,0.95,1,True
banknote,bo_tpe,3,0.98,1.0,0.98,1,True
banknote,bo_tpe,4,0.9,1.0,0.9,1,True
banknote,bo_tpe,4,0.95,1.0,0.95,1,True
banknote,bo_tpe,4,0.98,1.0,0.98,1,True
banknote,bo_tpe,5,0.9,1.0,0.9,1,True
banknote,bo_tpe,5,0.95,1.0,0.95,1,True
banknote,bo_tpe,5,0.98,1.0,0.98,1,True
banknote,bo_tpe,6,0.9,1.0,0.9,1,True
banknote,bo_tpe,6,0.95,1.0,0.95,1,True
banknote,bo_tpe,6,0.98,1.0,0.98,1,True
banknote,bo_tpe,7,0.9,1.0,0.9,1,True
banknote,bo_tpe,7,0.95,1.0,0.95,1,True
banknote,bo_tpe,7,0.98,1.0,0.98,1,True
banknote,bo_tpe,8,0.9,1.0,0.9,1,True
banknote,bo_tpe,8,0.95,1.0,0.95,1,True
banknote,bo_tpe,8,0.98,1.0,0.98,1,True
banknote,bo_tpe,9,0.9,1.0,0.9,2,True
banknote,bo_tpe,9,0.95,1.0,0.95,2,True
banknote,bo_tpe,9,0.98,1.0,0.98,6,True
banknote,bo_tpe,10,0.9,1.0,0.9,1,True
banknote,bo_tpe,10,0.95,1.0,0.95,1,True
banknote,bo_tpe,10,0.98,1.0,0.98,1,True
banknote,bo_tpe,11,0.9,1.0,0.9,2,True
banknote,bo_tpe,11,0.95,1.0,0.95,2,True
banknote,bo_tpe,11,0.98,1.0,0.98,2,True
banknote,bo_tpe,12,0.9,1.0,0.9,1,True
banknote,bo_tpe,12,0.95,1.0,0.95,1,True
banknote,bo_tpe,12,0.98,1.0,0.98,1,True
banknote,bo_tpe,13,0.9,1.0,0.9,1,True
banknote,bo_tpe,13,0.95,1.0,0.95,1,True
banknote,bo_tpe,13,0.98,1.0,0.98,1,True
banknote,bo_tpe,14,0.9,1.0,0.9,1,True
banknote,bo_tpe,14,0.95,1.0,0.95,1,True
banknote,bo_tpe,14,0.98,1.0,0.98,1,True
banknote,bo_tpe,15,0.9,1.0,0.9,1,True
banknote,bo_tpe,15,0.95,1.0,0.95,1,True
banknote,bo_tpe,15,0.98,1.0,0.98,1,True
banknote,bo_tpe,16,0.9,1.0,0.9,1,True
banknote,bo_tpe,16,0.95,1.0,0.95,1,True
banknote,bo_tpe,16,0.98,1.0,0.98,4,True
banknote,bo_tpe,17,0.9,1.0,0.9,1,True
banknote,bo_tpe,17,0.95,1.0,0.95,1,True
banknote,bo_tpe,17,0.98,1.0,0.98,1,True
banknote,bo_tpe,18,0.9,1.0,0.9,1,True
banknote,bo_tpe,18,0.95,1.0,0.95,1,True
banknote,bo_tpe,18,0.98,1.0,0.98,1,True
banknote,bo_tpe,19,0.9,1.0,0.9,1,True
banknote,bo_tpe,19,0.95,1.0,0.95,1,True
banknote,bo_tpe,19,0.98,1.0,0.98,1,True
banknote,bo_tpe,20,0.9,1.0,0.9,1,True
banknote,bo_tpe,20,0.95,1.0,0.95,1,True
banknote,bo_tpe,20,0.98,1.0,0.98,1,True
banknote,bo_tpe,21,0.9,1.0,0.9,2,True
banknote,bo_tpe,21,0.95,1.0,0.95,2,True
banknote,bo_tpe,21,0.98,1.0,0.98,2,True
banknote,bo_tpe,22,0.9,1.0,0.9,1,True
banknote,bo_tpe,22,0.95,1.0,0.95,1,True
banknote,bo_tpe,22,0.98,1.0,0.98,2,True
banknote,bo_tpe,23,0.9,1.0,0.9,1,True
banknote,bo_tpe,23,0.95,1.0,0.95,1,True
banknote,bo_tpe,23,0.98,1.0,0.98,1,True
banknote,bo_tpe,24,0.9,1.0,0.9,1,True
banknote,bo_tpe,24,0.95,1.0,0.95,1,True
banknote,bo_tpe,24,0.98,1.0,0.98,1,True
banknote,bo_tpe,25,0.9,1.0,0.9,1,True
banknote,bo_tpe,25,0.95,1.0,0.95,1,True
banknote,bo_tpe,25,0.98,1.0,0.98,1,True
banknote,bo_tpe,26,0.9,1.0,0.9,1,True
banknote,bo_tpe,26,0.95,1.0,0.95,1,True
banknote,bo_tpe,26,0.98,1.0,0.98,1,True
banknote,bo_tpe,27,0.9,1.0,0.9,1,True
banknote,bo_tpe,27,0.95,1.0,0.95,1,True
banknote,bo_tpe,27,0.98,1.0,0.98,1,True
banknote,bo_tpe,28,0.9,1.0,0.9,1,True
banknote,bo_tpe,28,0.95,1.0,0.95,1,True
banknote,bo_tpe,28,0.98,1.0,0.98,1,True
banknote,bo_tpe,29,0.9,1.0,0.9,1,True
banknote,bo_tpe,29,0.95,1.0,0.95,1,True
banknote,bo_tpe,29,0.98,1.0,0.98,1,True
banknote,cuckoo,0,0.9,1.0,0.9,1,True
banknote,cuckoo,0,0.95,1.0,0.95,1,True
banknote,cuckoo,0,0.98,1.0,0.98,1,True
banknote,cuckoo,1,0.9,1.0,0.9,1,True
banknote,cuckoo,1,0.95,1.0,0.95,1,True
banknote,cuckoo,1,0.98,1.0,0.98,1,True
banknote,cuckoo,2,0.9,1.0,0.9,2,True
banknote,cuckoo,2,0.95,1.0,0.95,2,True
banknote,cuckoo,2,0.98,1.0,0.98,2,True
banknote,cuckoo,3,0.9,1.0,0.9,1,True
banknote,cuckoo,3,0.95,1.0,0.95,1,True
banknote,cuckoo,3,0.98,1.0,0.98,1,True
banknote,cuckoo,4,0.9,1.0,0.9,1,True
banknote,cuckoo,4,0.95,1.0,0.95,1,True
banknote,cuckoo,4,0.98,1.0,0.98,1,True
banknote,cuckoo,5,0.9,1.0,0.9,1,True
banknote,cuckoo,5,0.95,1.0,0.95,1,True
banknote,cuckoo,5,0.98,1.0,0.98,1,True
banknote,cuckoo,6,0.9,1.0,0.9,1,True
banknote,cuckoo,6,0.95,1.0,0.95,1,True
banknote,cuckoo,6,0.98,1.0,0.98,1,True
banknote,cuckoo,7,0.9,1.0,0.9,1,True
banknote,cuckoo,7,0.95,1.0,0.95,1,True
banknote,cuckoo,7,0.98,1.0,0.98,1,True
banknote,cuckoo,8,0.9,1.0,0.9,1,True
banknote,cuckoo,8,0.95,1.0,0.95,1,True
banknote,cuckoo,8,0.98,1.0,0.98,1,True
banknote,cuckoo,9,0.9,1.0,0.9,2,True
banknote,cuckoo,9,0.95,1.0,0.95,2,True
banknote,cuckoo,9,0.98,1.0,0.98,6,True
banknote,cuckoo,10,0.9,1.0,0.9,1,True
banknote,cuckoo,10,0.95,1.0,0.95,1,True
banknote,cuckoo,10,0.98,1.0,0.98,1,True
banknote,cuckoo,11,0.9,1.0,0.9,2,True
banknote,cuckoo,11,0.95,1.0,0.95,2,True
banknote,cuckoo,11,0.98,1.0,0.98,2,True
banknote,cuckoo,12,0.9,1.0,0.9,1,True
banknote,cuckoo,12,0.95,1.0,0.95,1,True
banknote,cuckoo,12,0.98,1.0,0.98,1,True
banknote,cuckoo,13,0.9,1.0,0.9,1,True
banknote,cuckoo,13,0.95,1.0,0.95,1,True
banknote,cuckoo,13,0.98,1.0,0.98,1,True
banknote,cuckoo,14,0.9,1.0,0.9,1,True
banknote,cuckoo,14,0.95,1.0,0.95,1,True
banknote,cuckoo,14,0.98,1.0,0.98,1,True
banknote,cuckoo,15,0.9,1.0,0.9,1,True
banknote,cuckoo,15,0.95,1.0,0.95,1,True
banknote,cuckoo,15,0.98,1.0,0.98,1,True
banknote,cuckoo,16,0.9,1.0,0.9,1,True
banknote,cuckoo,16,0.95,1.0,0.95,1,True
banknote,cuckoo,16,0.98,1.0,0.98,4,True
banknote,cuckoo,17,0.9,1.0,0.9,1,True
banknote,cuckoo,17,0.95,1.0,0.95,1,True
banknote,cuckoo,17,0.98,1.0,0.98,1,True
banknote,cuckoo,18,0.9,1.0,0.9,1,True
banknote,cuckoo,18,0.95,1.0,0.95,1,True
banknote,cuckoo,18,0.98,1.0,0.98,1,True
banknote,cuckoo,19,0.9,1.0,0.9,1,True
banknote,cuckoo,19,0.95,1.0,0.95,1,True
banknote,cuckoo,19,0.98,1.0,0.98,1,True
banknote,cuckoo,20,0.9,1.0,0.9,1,True
banknote,cuckoo,20,0.95,1.0,0.95,1,True
banknote,cuckoo,20,0.98,1.0,0.98,1,True
banknote,cuckoo,21,0.9,1.0,0.9,2,True
banknote,cuckoo,21,0.95,1.0,0.95,2,True
banknote,cuckoo,21,0.98,1.0,0.98,2,True
banknote,cuckoo,22,0.9,1.0,0.9,1,True
banknote,cuckoo,22,0.95,1.0,0.95,1,True
banknote,cuckoo,22,0.98,1.0,0.98,2,True
banknote,cuckoo,23,0.9,1.0,0.9,1,True
banknote,cuckoo,23,0.95,1.0,0.95,1,True
banknote,cuckoo,23,0.98,1.0,0.98,1,True
banknote,cuckoo,24,0.9,1.0,0.9,1,True
banknote,cuckoo,24,0.95,1.0,0.95,1,True
banknote,cuckoo,24,0.98,1.0,0.98,1,True
banknote,cuckoo,25,0.9,1.0,0.9,1,True
banknote,cuckoo,25,0.95,1.0,0.95,1,True
banknote,cuckoo,25,0.98,1.0,0.98,1,True
banknote,cuckoo,26,0.9,1.0,0.9,1,True
banknote,cuckoo,26,0.95,1.0,0.95,1,True
banknote,cuckoo,26,0.98,1.0,0.98,1,True
banknote,cuckoo,27,0.9,1.0,0.9,1,True
banknote,cuckoo,27,0.95,1.0,0.95,1,True
banknote,cuckoo,27,0.98,1.0,0.98,1,True
banknote,cuckoo,28,0.9,1.0,0.9,1,True
banknote,cuckoo,28,0.95,1.0,0.95,1,True
banknote,cuckoo,28,0.98,1.0,0.98,1,True
banknote,cuckoo,29,0.9,1.0,0.9,1,True
banknote,cuckoo,29,0.95,1.0,0.95,1,True
banknote,cuckoo,29,0.98,1.0,0.98,1,True
banknote,de,0,0.9,1.0,0.9,1,True
banknote,de,0,0.95,1.0,0.95,1,True
banknote,de,0,0.98,1.0,0.98,1,True
banknote,de,1,0.9,1.0,0.9,1,True
banknote,de,1,0.95,1.0,0.95,1,True
banknote,de,1,0.98,1.0,0.98,1,True
banknote,de,2,0.9,1.0,0.9,1,True
banknote,de,2,0.95,1.0,0.95,2,True
banknote,de,2,0.98,1.0,0.98,2,True
banknote,de,3,0.9,1.0,0.9,2,True
banknote,de,3,0.95,1.0,0.95,2,True
banknote,de,3,0.98,1.0,0.98,2,True
banknote,de,4,0.9,1.0,0.9,1,True
banknote,de,4,0.95,1.0,0.95,1,True
banknote,de,4,0.98,1.0,0.98,1,True
banknote,de,5,0.9,1.0,0.9,1,True
banknote,de,5,0.95,1.0,0.95,1,True
banknote,de,5,0.98,1.0,0.98,1,True
banknote,de,6,0.9,1.0,0.9,1,True
banknote,de,6,0.95,1.0,0.95,1,True
banknote,de,6,0.98,1.0,0.98,1,True
banknote,de,7,0.9,1.0,0.9,1,True
banknote,de,7,0.95,1.0,0.95,1,True
banknote,de,7,0.98,1.0,0.98,1,True
banknote,de,8,0.9,1.0,0.9,1,True
banknote,de,8,0.95,1.0,0.95,1,True
banknote,de,8,0.98,1.0,0.98,1,True
banknote,de,9,0.9,1.0,0.9,1,True
banknote,de,9,0.95,1.0,0.95,1,True
banknote,de,9,0.98,1.0,0.98,1,True
banknote,de,10,0.9,1.0,0.9,1,True
banknote,de,10,0.95,1.0,0.95,1,True
banknote,de,10,0.98,1.0,0.98,1,True
banknote,de,11,0.9,1.0,0.9,1,True
banknote,de,11,0.95,1.0,0.95,1,True
banknote,de,11,0.98,1.0,0.98,3,True
banknote,de,12,0.9,1.0,0.9,1,True
banknote,de,12,0.95,1.0,0.95,1,True
banknote,de,12,0.98,1.0,0.98,1,True
banknote,de,13,0.9,1.0,0.9,1,True
banknote,de,13,0.95,1.0,0.95,1,True
banknote,de,13,0.98,1.0,0.98,1,True
banknote,de,14,0.9,1.0,0.9,1,True
banknote,de,14,0.95,1.0,0.95,1,True
banknote,de,14,0.98,1.0,0.98,1,True
banknote,de,15,0.9,1.0,0.9,1,True
banknote,de,15,0.95,1.0,0.95,1,True
banknote,de,15,0.98,1.0,0.98,1,True
banknote,de,16,0.9,1.0,0.9,1,True
banknote,de,16,0.95,1.0,0.95,1,True
banknote,de,16,0.98,1.0,0.98,1,True
banknote,de,17,0.9,1.0,0.9,1,True
banknote,de,17,0.95,1.0,0.95,1,True
