optimizer,target,median_evals,mean_evals,reach_rate
bo_tpe,0.9,1.0,1.76,1.0
cuckoo,0.9,1.0,1.76,1.0
de,0.9,1.0,1.7566666666666666,1.0
ga,0.9,1.0,1.7566666666666666,1.0
pso,0.9,1.0,1.63,1.0
random,0.9,1.0,1.76,1.0
sa,0.9,1.0,4.033333333333333,1.0
sh,0.9,1.0,2.8866666666666667,1.0
grid,0.9,11.0,13.873333333333333,1.0
bo_tpe,0.95,2.0,13.996666666666666,0.9033333333333333
cuckoo,0.95,2.0,16.203333333333333,0.8666666666666667
de,0.95,2.0,16.30666666666667,0.8933333333333333
ga,0.95,2.0,15.703333333333333,0.8966666666666666
pso,0.95,2.0,14.843333333333334,0.9066666666666666
random,0.95,2.0,15.276666666666667,0.8833333333333333
sh,0.95,2.0,7.793333333333333,0.97
sa,0.95,3.0,19.59,0.8733333333333333
grid,0.95,26.0,31.876666666666665,0.86
sh,0.98,4.5,19.17,0.88
cuckoo,0.98,11.5,47.04333333333334,0.5733333333333334
random,0.98,11.5,44.29666666666667,0.61
bo_tpe,0.98,12.0,40.82,0.6466666666666666
de,0.98,13.0,44.52,0.6133333333333333
ga,0.98,13.0,44.163333333333334,0.64
pso,0.98,13.0,42.526666666666664,0.64
sa,0.98,21.0,45.68333333333333,0.6233333333333333
grid,0.98,38.0,56.303333333333335,0.6166666666666667
