dataset,bo_tpe,cuckoo,de,ga,grid,pso,random,sa,sh
banknote,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast-w,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
car,2.0,2.0,3.0,3.0,3.0,2.5,2.0,3.0,7.0
diabetes,31.0,101.0,78.0,51.5,101.0,38.0,67.5,72.5,2.5
ilpd,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1.0
ozone-8hr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qsar-biodeg,2.5,2.5,2.0,2.0,3.0,2.0,2.5,4.5,3.0
steel-faults,2.0,2.0,3.5,3.5,3.0,2.0,2.0,3.0,10.0
vehicle,3.0,3.0,4.0,4.0,4.0,3.5,3.0,7.5,10.0
wdbc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
