opt_A,opt_B,mean_diff,ci_low,ci_high,equivalent,p_tost,max_abs_diff,p_tost_holm,equivalent_holm
bo_tpe,cuckoo,-0.00015365907597995055,-0.0017509756293169008,0.0014436574773569995,True,9.998461686473146e-09,0.00712250712250706,1.9996923372946293e-07,True
bo_tpe,de,0.0004627871288057306,-0.0004092968281657369,0.0013348710857771981,True,5.539381788441257e-11,0.003896103896103842,1.8833898080700274e-09,True
bo_tpe,ga,-1.6372477982584677e-05,-0.0011788131306648862,0.0011460681746997168,True,5.580732519526275e-10,0.004843304843304863,1.6184124306626196e-08,True
bo_tpe,grid,0.00037431223394235325,-0.0013942273592749941,0.0021428518271597004,True,2.756506073860802e-08,0.007407407407407418,4.6860603255633634e-07,True
bo_tpe,pso,0.00030642221836552075,-0.0007363983662029149,0.0013492428029339564,True,2.497469872655483e-10,0.0039886039886040114,7.742156605231996e-09,True
bo_tpe,random,-0.0003328531640677923,-0.0022312887100792867,0.0015655823819437022,True,4.995479506004507e-08,0.007254901960784266,7.493219259006761e-07,True
bo_tpe,sa,-2.7739685147110114e-05,-0.001780031577951516,0.0017245522076572955,True,2.1014496341641258e-08,0.006837606837606813,3.7826093414954266e-07,True
bo_tpe,sh,0.0039431715312024055,0.0015061198350494933,0.006380223227355318,True,3.78343646718762e-06,0.011688311688311526,3.400261082534007e-05,True
cuckoo,de,0.0006164462047856811,-0.0009134879193563067,0.0021463803289276688,True,8.87028927516636e-09,0.005413105413105357,1.8627607477849355e-07,True
cuckoo,ga,0.00013728659799736587,-0.0011582698818193868,0.0014328430778141187,True,1.5616458771749715e-09,0.004739336492890822,3.904114692937429e-08,True
cuckoo,grid,0.0005279713099223038,-0.0026604195503435726,0.0037163621701881804,True,4.489098539222663e-06,0.014529914529914478,3.400261082534007e-05,True
cuckoo,pso,0.00046008129434547127,-0.0003566070719839007,0.0012767696606748433,True,3.0766729483032564e-11,0.0031339031339030488,1.1076022613891724e-09,True
cuckoo,random,-0.00017919408808784177,-0.001409521748171752,0.0010511335719960682,True,1.011186983687217e-09,0.00509803921568619,2.6290861575867643e-08,True
cuckoo,sa,0.00012591939083284043,-0.000729509685874872,0.0009813484675405529,True,3.853522117386709e-11,0.0025974025974025983,1.348732741085348e-09,True
cuckoo,sh,0.004096830607182356,0.0006313764041250103,0.007562284810239701,True,6.707806872605131e-05,0.01737891737891728,0.0001760554390249293,True
de,ga,-0.0004791596067883153,-0.00163860106075089,0.0006802818471742593,True,7.070780652850981e-10,0.003896103896103842,1.909110776269765e-08,True
de,grid,-8.847489486337733e-05,-0.002213258599027542,0.0020363088093007875,True,1.1599651552205768e-07,0.009116809116809121,1.6239512173088075e-06,True
de,pso,-0.00015636491044020983,-0.0012620719375055092,0.0009493421166250896,True,3.866003124687131e-10,0.00303030303030305,1.1598009374061393e-08,True
de,random,-0.0007956402928735229,-0.0028646608597041163,0.0012733802739570703,True,1.3619816299543322e-07,0.007843137254901933,1.7705761189406318e-06,True
de,sa,-0.0004905268139528407,-0.0020171052291420768,0.0010360516012363956,True,8.102031339767651e-09,0.00512820512820511,1.7824468947488834e-07,True
de,sh,0.0034803844023966746,0.0011089175878159648,0.005851851216977384,True,2.219258375816278e-06,0.011965811965811923,2.219258375816278e-05,True
ga,grid,0.0003906847119249379,-0.0023368886530961788,0.0031182580769460546,True,1.1453179193604023e-06,0.012250712250712281,1.2598497112964425e-05,True
ga,pso,0.0003227946963481054,-0.0006150247560882667,0.0012606141487844775,True,9.786861881592701e-11,0.0035087719298245723,3.1317958021096644e-09,True
ga,random,-0.00031648068608520764,-0.001996762351063186,0.0013638009788927705,True,1.7059936046553124e-08,0.005686274509803968,3.2413878488450936e-07,True
ga,sa,-1.136720716452544e-05,-0.0014438074913873625,0.0014210730770583115,True,3.541270132845382e-09,0.004385964912280715,8.144921305544378e-08,True
ga,sh,0.00395954400918499,0.0006442631268808049,0.007274824891489175,True,4.4013859756232327e-05,0.015099715099715083,0.0001760554390249293,True
grid,pso,-6.78900155768325e-05,-0.0026304294577854043,0.0024946494266317393,True,5.699330880729148e-07,0.01139601139601143,6.839197056874978e-06,True
grid,random,-0.0007071653980101455,-0.0038869940317529774,0.002472663235732686,True,4.827276555682675e-06,0.013105413105413133,3.400261082534007e-05,True
grid,sa,-0.00040205191908946334,-0.0035492568675202178,0.002745153029341291,True,3.7780678694822295e-06,0.014245014245014231,3.400261082534007e-05,True
grid,sh,0.003568859297260052,0.0020724290306811067,0.005065289563838997,True,4.6595027858526046e-08,0.008874458874458813,7.455204457364167e-07,True
pso,random,-0.000639275382433313,-0.001986161175093157,0.0007076104102265309,True,2.922566842626279e-09,0.005490196078431264,7.01416042230307e-08,True
pso,sa,-0.00033416190351263084,-0.0012416864776309377,0.000573362670605676,True,7.347742432609335e-11,0.002849002849002802,2.4247550027610808e-09,True
pso,sh,0.0036367493128368843,0.0006554240655876581,0.006618074560086111,True,1.5718368419727557e-05,0.014245014245014231,7.859184209863779e-05,True
random,sa,0.00030511347892068217,-0.0008555161031919043,0.0014657430610332685,True,6.466049223994823e-10,0.0037254901960784848,1.8104937827185505e-08,True
random,sh,0.004276024695270197,0.0006106030496243198,0.007941446340916074,True,0.00011364680288280993,0.015954415954415935,0.0001760554390249293,True
sa,sh,0.003970911216349515,0.0005847346090899555,0.007357087823609075,True,5.206941357260586e-05,0.017094017094017033,0.0001760554390249293,True
