dataset,policy,rep,seed_split,seed_cv,seed_opt,cv_best,test_acc,evals_to_99pct,final_curve_value
diabetes,row_major,0,0,42,0,0.7736638677862189,0.7987012987012987,25,0.7736638677862189
diabetes,row_major,1,1,42,1,0.780021324803412,0.7597402597402597,26,0.780021324803412
diabetes,row_major,2,2,42,2,0.757270425163268,0.8051948051948052,25,0.757270425163268
diabetes,row_major,3,3,42,3,0.7818339330934293,0.7532467532467533,25,0.7818339330934293
diabetes,row_major,4,4,42,4,0.7703985072637611,0.7987012987012987,25,0.7703985072637611
diabetes,row_major,5,5,42,5,0.7703718512594963,0.7792207792207793,25,0.7703718512594963
diabetes,row_major,6,6,42,6,0.783379981340797,0.7402597402597403,16,0.783379981340797
diabetes,row_major,7,7,42,7,0.7816873250699721,0.7467532467532467,25,0.7816873250699721
diabetes,row_major,8,8,42,8,0.7834732773557244,0.7532467532467533,26,0.7834732773557244
diabetes,row_major,9,9,42,9,0.7833399973343995,0.7662337662337663,25,0.7833399973343995
diabetes,row_major,10,10,42,10,0.7703451952552313,0.7857142857142857,35,0.7703451952552313
diabetes,row_major,11,11,42,11,0.7816873250699721,0.7727272727272727,63,0.7816873250699721
diabetes,row_major,12,12,42,12,0.7816606690657071,0.7597402597402597,26,0.7816606690657071
diabetes,row_major,13,13,42,13,0.7720111955217913,0.8181818181818182,26,0.7720111955217913
diabetes,row_major,14,14,42,14,0.7735039317606291,0.7922077922077922,25,0.7735039317606291
diabetes,row_major,15,15,42,15,0.7638811142209783,0.8051948051948052,26,0.7638811142209783
diabetes,row_major,16,16,42,16,0.7800879648140744,0.7662337662337663,25,0.7800879648140744
diabetes,row_major,17,17,42,17,0.7671864587498334,0.8181818181818182,25,0.7671864587498334
diabetes,row_major,18,18,42,18,0.7703585232573638,0.7987012987012987,34,0.7703585232573638
diabetes,row_major,19,19,42,19,0.7801546048247368,0.7987012987012987,26,0.7801546048247368
diabetes,row_major,20,20,42,20,0.7703985072637611,0.7792207792207793,25,0.7703985072637611
diabetes,row_major,21,21,42,21,0.7850726376116219,0.7337662337662337,26,0.7850726376116219
diabetes,row_major,22,22,42,22,0.7703318672530988,0.7532467532467533,25,0.7703318672530988
diabetes,row_major,23,23,42,23,0.7720111955217913,0.7987012987012987,16,0.7720111955217913
diabetes,row_major,24,24,42,24,0.7671331467413034,0.7727272727272727,25,0.7671331467413034
diabetes,row_major,25,25,42,25,0.7687458349993337,0.7792207792207793,25,0.7687458349993337
diabetes,row_major,26,26,42,26,0.785072637611622,0.7727272727272727,26,0.785072637611622
diabetes,row_major,27,27,42,27,0.7769558843129414,0.7792207792207793,25,0.7769558843129414
diabetes,row_major,28,28,42,28,0.7736505397840864,0.7402597402597403,65,0.7736505397840864
diabetes,row_major,29,29,42,29,0.7768892443022791,0.7597402597402597,26,0.7768892443022791
diabetes,col_major,0,0,42,0,0.7736638677862189,0.7987012987012987,7,0.7736638677862189
diabetes,col_major,1,1,42,1,0.780021324803412,0.7597402597402597,7,0.780021324803412
diabetes,col_major,2,2,42,2,0.757270425163268,0.8116883116883117,7,0.757270425163268
diabetes,col_major,3,3,42,3,0.7818339330934293,0.7532467532467533,7,0.7818339330934293
diabetes,col_major,4,4,42,4,0.7703985072637611,0.7987012987012987,7,0.7703985072637611
diabetes,col_major,5,5,42,5,0.7703718512594963,0.7792207792207793,7,0.7703718512594963
diabetes,col_major,6,6,42,6,0.783379981340797,0.7402597402597403,8,0.783379981340797
diabetes,col_major,7,7,42,7,0.7816873250699721,0.7467532467532467,8,0.7816873250699721
