dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,0,0,0,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,13.758591413497925,18,100
banknote,random,0,0,0,0,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,12.416333436965942,1,100
banknote,bo_tpe,0,0,0,0,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,9.566054105758669,1,100
banknote,pso,0,0,0,0,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,7.436089992523193,6,100
banknote,de,0,0,0,0,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,10.56900954246521,3,100
banknote,ga,0,0,0,0,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.551828861236572,3,100
banknote,sa,0,0,0,0,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.947198867797852,1,100
banknote,grid,1,1,0,1,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.405957698822021,18,100
banknote,random,1,1,0,1,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.449015378952026,1,100
banknote,bo_tpe,1,1,0,1,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.4059531688690186,1,100
banknote,pso,1,1,0,1,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.846310377120972,6,100
banknote,de,1,1,0,1,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.6948771476745605,3,100
banknote,ga,1,1,0,1,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.427335500717163,3,100
banknote,sa,1,1,0,1,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.162074565887451,1,100
banknote,grid,2,2,0,2,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.532296419143677,18,100
banknote,random,2,2,0,2,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.274581432342529,1,100
banknote,bo_tpe,2,2,0,2,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.713998556137085,1,100
banknote,pso,2,2,0,2,0,isolate_F,1.0,1.0,4.376382756376657,1.7602829116208092,5.507226943969727,6,100
banknote,de,2,2,0,2,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.643805027008057,3,100
banknote,ga,2,2,0,2,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,5.561542272567749,3,100
banknote,sa,2,2,0,2,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.70247745513916,1,100
banknote,grid,3,3,0,3,0,isolate_F,1.0,1.0,-0.5555555555555554,3.0,8.1982581615448,18,100
banknote,random,3,3,0,3,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.4940407276153564,1,100
banknote,bo_tpe,3,3,0,3,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,5.976643323898315,1,100
banknote,pso,3,3,0,3,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.954259395599365,6,100
banknote,de,3,3,0,3,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.002038478851318,3,100
banknote,ga,3,3,0,3,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.068661212921143,3,100
banknote,sa,3,3,0,3,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.710521936416626,1,100
banknote,grid,4,4,0,4,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.24285101890564,18,100
banknote,random,4,4,0,4,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.03485631942749,1,100
banknote,bo_tpe,4,4,0,4,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.160361289978027,1,100
banknote,pso,4,4,0,4,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.727942228317261,6,100
banknote,de,4,4,0,4,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.026991844177246,3,100
banknote,ga,4,4,0,4,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.043339490890503,3,100
banknote,sa,4,4,0,4,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.399715185165405,1,100
banknote,grid,5,5,0,5,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.562370300292969,18,100
banknote,random,5,5,0,5,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.43207049369812,1,100
banknote,bo_tpe,5,5,0,5,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.226940631866455,1,100
banknote,pso,5,5,0,5,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.397736549377441,6,100
banknote,de,5,5,0,5,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,10.539507150650024,3,100
banknote,ga,5,5,0,5,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,8.631510257720947,3,100
banknote,sa,5,5,0,5,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.883436679840088,1,100
banknote,grid,6,6,0,6,0,isolate_F,1.0,1.0,-0.5555555555555554,3.0,11.2001953125,18,100
banknote,random,6,6,0,6,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,9.160958290100098,1,100
banknote,bo_tpe,6,6,0,6,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.820716619491577,1,100
banknote,pso,6,6,0,6,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,9.553679704666138,6,100
banknote,de,6,6,0,6,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,9.263025999069214,3,100
banknote,ga,6,6,0,6,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,8.475470542907715,3,100
banknote,sa,6,6,0,6,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,10.01217007637024,1,100
banknote,grid,7,7,0,7,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,11.556049346923828,18,100
banknote,random,7,7,0,7,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,9.26612901687622,1,100
banknote,bo_tpe,7,7,0,7,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.007228851318359,1,100
banknote,pso,7,7,0,7,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.875503301620483,6,100
banknote,de,7,7,0,7,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.144777297973633,3,100
banknote,ga,7,7,0,7,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,5.995972633361816,3,100
banknote,sa,7,7,0,7,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.711166143417358,1,100
banknote,grid,8,8,0,8,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.33982515335083,18,100
banknote,random,8,8,0,8,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.474125146865845,1,100
banknote,bo_tpe,8,8,0,8,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.25403904914856,1,100
banknote,pso,8,8,0,8,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.15302324295044,6,100
banknote,de,8,8,0,8,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.717321157455444,3,100
banknote,ga,8,8,0,8,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.361421823501587,3,100
banknote,sa,8,8,0,8,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.026980876922607,1,100
banknote,grid,9,9,0,9,0,isolate_F,1.0,1.0,-0.5555555555555554,3.0,10.311595916748049,18,100
banknote,random,9,9,0,9,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.41477632522583,1,100
banknote,bo_tpe,9,9,0,9,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,5.977478981018066,1,100
banknote,pso,9,9,0,9,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.966181516647339,6,100
banknote,de,9,9,0,9,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.076378107070923,3,100
banknote,ga,9,9,0,9,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,5.8735761642456055,3,100
banknote,sa,9,9,0,9,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,5.986119985580444,1,100
banknote,grid,10,10,0,10,0,isolate_F,1.0,1.0,-0.5555555555555554,3.0,8.473349332809448,18,100
banknote,random,10,10,0,10,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.500889778137207,1,100
banknote,bo_tpe,10,10,0,10,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.153400421142578,1,100
banknote,pso,10,10,0,10,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,7.058294296264648,6,100
banknote,de,10,10,0,10,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.885420322418213,3,100
banknote,ga,10,10,0,10,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.030850172042847,3,100
banknote,sa,10,10,0,10,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.10772180557251,1,100
banknote,grid,11,11,0,11,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.364117860794067,18,100
banknote,random,11,11,0,11,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.46600866317749,1,100
banknote,bo_tpe,11,11,0,11,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.012299537658691,1,100
banknote,pso,11,11,0,11,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.180838108062744,6,100
banknote,de,11,11,0,11,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.860327482223511,3,100
banknote,ga,11,11,0,11,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.89721417427063,3,100
banknote,sa,11,11,0,11,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.579135179519653,1,100
banknote,grid,12,12,0,12,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.378498554229736,18,100
banknote,random,12,12,0,12,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.277975082397461,1,100
banknote,bo_tpe,12,12,0,12,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.24128794670105,1,100
banknote,pso,12,12,0,12,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.187281370162964,6,100
banknote,de,12,12,0,12,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.862313270568848,3,100
banknote,ga,12,12,0,12,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.285579204559326,3,100
banknote,sa,12,12,0,12,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.994156360626221,1,100
banknote,grid,13,13,0,13,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.396288394927979,18,100
banknote,random,13,13,0,13,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.364377021789551,1,100
banknote,bo_tpe,13,13,0,13,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,5.994088888168335,1,100
banknote,pso,13,13,0,13,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.242610216140747,6,100
banknote,de,13,13,0,13,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.854169607162476,3,100
banknote,ga,13,13,0,13,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,5.845156192779541,3,100
banknote,sa,13,13,0,13,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.786649703979492,1,100
banknote,grid,14,14,0,14,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.682466268539429,18,100
banknote,random,14,14,0,14,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.415135145187378,1,100
banknote,bo_tpe,14,14,0,14,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.199083566665649,1,100
banknote,pso,14,14,0,14,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,7.0336668491363525,6,100
banknote,de,14,14,0,14,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.305505037307739,3,100
banknote,ga,14,14,0,14,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.232229471206665,3,100
banknote,sa,14,14,0,14,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,8.888303518295288,1,100
banknote,grid,15,15,0,15,0,isolate_F,1.0,1.0,-0.5555555555555554,-1.0,8.17924976348877,18,100
banknote,random,15,15,0,15,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.576357364654541,1,100
banknote,bo_tpe,15,15,0,15,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,6.134816646575928,1,100
banknote,pso,15,15,0,15,0,isolate_F,1.0,1.0,2.5791215948046524,2.659467557632212,6.201537370681763,6,100
banknote,de,15,15,0,15,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,7.084820985794067,3,100
banknote,ga,15,15,0,15,0,isolate_F,1.0,1.0,11.265404784005447,1.429600390998992,6.757575988769531,3,100
banknote,sa,15,15,0,15,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,9.005995035171509,1,100
banknote,grid,16,16,0,16,0,isolate_F,1.0,1.0,-0.5555555555555554,3.0,9.958576917648315,18,100
banknote,random,16,16,0,16,0,isolate_F,1.0,1.0,5.976270078546495,-2.12659140529645,7.74962592124939,1,100
