dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
qsar-biodeg,grid,0,0,0,0,0,isolate_F,0.8898422090729783,0.8720379146919431,3.888888888888889,-5.0,18.785513162612915,36,100
qsar-biodeg,random,0,0,0,0,0,isolate_F,0.8886587771203157,0.8625592417061612,8.042065400033778,-7.234468162188467,15.469605445861816,17,100
qsar-biodeg,bo_tpe,0,0,0,0,0,isolate_F,0.8933925049309664,0.8672985781990521,6.340717013570859,-6.421516553171462,14.627559900283812,67,100
qsar-biodeg,pso,0,0,0,0,0,isolate_F,0.8898422090729783,0.8720379146919431,4.856174727729076,-5.774009860039637,11.387669801712036,27,100
qsar-biodeg,de,0,0,0,0,0,isolate_F,0.8874612566920259,0.8625592417061612,5.872499829308458,-5.804326595710874,12.584585905075071,16,100
qsar-biodeg,ga,0,0,0,0,0,isolate_F,0.8886446886446887,0.8625592417061612,8.770064921881517,-7.405314489572631,12.649429082870483,16,100
qsar-biodeg,sa,0,0,0,0,0,isolate_F,0.8886587771203157,0.8672985781990521,4.96451622720781,-6.026668609303302,12.466957807540894,36,100
qsar-biodeg,grid,1,1,0,1,0,isolate_F,0.889806987883911,0.8625592417061612,6.111111111111111,-7.0,193.706799030304,36,100
qsar-biodeg,random,1,1,0,1,0,isolate_F,0.892166807551423,0.8672985781990521,7.360308579976831,-7.28216338297621,31.29028582572937,26,100
qsar-biodeg,bo_tpe,1,1,0,1,0,isolate_F,0.8969075795998872,0.8720379146919431,4.768625140488615,-5.766845828371397,12.91874098777771,42,100
qsar-biodeg,pso,1,1,0,1,0,isolate_F,0.8933502395040858,0.8720379146919431,3.460177118902206,-4.833159069624921,12.115676641464232,30,100
qsar-biodeg,de,1,1,0,1,0,isolate_F,0.8945407156945618,0.8720379146919431,7.465370675370535,-7.391630018442148,13.477991819381714,16,100
qsar-biodeg,ga,1,1,0,1,0,isolate_F,0.8957241476472246,0.8672985781990521,7.595331399584031,-7.41967945292419,13.127603530883787,16,100
