dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
breast-w,grid,0,0,0,42,0,isolate_O,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,4.979547023773193,6,100
breast-w,random,0,0,0,42,0,isolate_O,0.971380308880309,0.9642857142857144,6.403935408357594,-7.1051727576782335,4.7694313526153564,13,100
breast-w,bo_tpe,0,0,0,42,0,isolate_O,0.971380308880309,0.9642857142857144,7.164750018200413,-7.408022102554927,4.593994379043579,12,100
breast-w,pso,0,0,0,42,0,isolate_O,0.9695945945945944,0.9571428571428572,4.856174727729076,-5.911778948911404,4.073912620544434,1,100
breast-w,de,0,0,0,42,0,isolate_O,0.9695785070785072,0.9642857142857144,2.1896743771209075,-5.253698035516349,4.530675888061523,1,100
breast-w,ga,0,0,0,42,0,isolate_O,0.9695945945945944,0.9571428571428572,8.768934611418802,-7.825304631994147,4.218054294586182,1,100
breast-w,sa,0,0,0,42,0,isolate_O,0.971380308880309,0.9642857142857144,5.952735304417031,-7.002345787399042,4.704895734786987,20,100
breast-w,grid,1,1,0,42,1,isolate_O,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,4.846554279327393,6,100
breast-w,random,1,1,0,42,1,isolate_O,0.9695945945945944,0.9642857142857144,2.9353494846133987,-5.301298787939576,4.746948719024658,5,100
breast-w,bo_tpe,1,1,0,42,1,isolate_O,0.971380308880309,0.9642857142857144,2.58501104505236,-5.203760931206524,4.460177659988403,5,100
breast-w,pso,1,1,0,42,1,isolate_O,0.971380308880309,0.9642857142857144,3.562420535578352,-5.709316582000006,4.216508150100708,5,100
breast-w,de,1,1,0,42,1,isolate_O,0.971380308880309,0.9642857142857144,6.596479432904063,-7.112806949526742,4.363137483596802,3,100
breast-w,ga,1,1,0,42,1,isolate_O,0.9678088803088803,0.9571428571428572,10.494974821935196,-8.825079744327699,4.1298134326934814,3,100
breast-w,sa,1,1,0,42,1,isolate_O,0.9677927927927928,0.9642857142857144,0.2610703617717778,-3.770327294138616,4.747437953948975,2,100
breast-w,grid,2,2,0,42,2,isolate_O,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,4.84388279914856,6,100
breast-w,random,2,2,0,42,2,isolate_O,0.9695945945945944,0.9642857142857144,6.342882552554185,-7.3041726606700195,4.552537202835083,2,100
breast-w,bo_tpe,2,2,0,42,2,isolate_O,0.9713642213642216,0.9642857142857144,-3.015675741878174,-6.043112150810792,4.7401227951049805,2,100
breast-w,pso,2,2,0,42,2,isolate_O,0.9695945945945944,0.9571428571428572,6.2338026737910575,-6.696816474021325,4.087959289550781,2,100
breast-w,de,2,2,0,42,2,isolate_O,0.971380308880309,0.9642857142857144,5.746249109832239,-6.823851694001239,4.96246337890625,1,100
breast-w,ga,2,2,0,42,2,isolate_O,0.9695945945945944,0.9642857142857144,7.888725384110351,-7.682236841840344,4.433779001235962,1,100
breast-w,sa,2,2,0,42,2,isolate_O,0.9695945945945944,0.9642857142857144,4.105136083882386,-5.88833502687377,4.978668689727783,15,100
breast-w,grid,3,3,0,42,3,isolate_O,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,4.773099660873413,6,100
breast-w,random,3,3,0,42,3,isolate_O,0.9695785070785072,0.9571428571428572,-4.520362352456693,-4.940626416164124,4.684333562850952,2,100
breast-w,bo_tpe,3,3,0,42,3,isolate_O,0.9713642213642216,0.9642857142857144,-3.704262322430061,-5.319274442940467,4.953297853469849,2,100
breast-w,pso,3,3,0,42,3,isolate_O,0.971380308880309,0.9642857142857144,5.406146440924287,-6.5274858074793,4.277302026748657,2,100
breast-w,de,3,3,0,42,3,isolate_O,0.971380308880309,0.9642857142857144,5.822561378151356,-6.864075523759627,4.463316917419434,4,100
breast-w,ga,3,3,0,42,3,isolate_O,0.9695945945945944,0.9642857142857144,2.824563809913241,-5.698676712815454,4.18722414970398,4,100
breast-w,sa,3,3,0,42,3,isolate_O,0.9695945945945944,0.9571428571428572,5.654176582606728,-6.246192221614374,4.570051431655884,2,100
breast-w,grid,4,4,0,42,4,isolate_O,0.971380308880309,0.9642857142857144,6.111111111111111,-7.0,4.897075653076172,6,100
breast-w,random,4,4,0,42,4,isolate_O,0.9713642213642216,0.9642857142857144,-3.698643752343853,-5.278654866429486,4.743078947067261,3,100
