dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
car,grid,0,0,0,42,0,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,32.12917876243591,46,100
car,random,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,10.834500761653292,-5.47989144444772,29.61432671546936,2,100
car,bo_tpe,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,10.834500761653292,-5.47989144444772,23.76516890525818,2,100
car,pso,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,11.758097028852866,-5.758872075032897,23.84187626838684,10,100
car,de,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,8.412488293872606,-5.588958680547324,26.212514400482178,9,100
car,ga,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,12.793401613203432,-5.728789525773895,22.24735856056213,9,100
car,sa,0,0,0,42,0,isolate_O,0.9905875582064562,0.9971098265895952,10.057700342195268,-6.0485687279818565,31.80268740653992,8,100
car,grid,1,1,0,42,1,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,32.157355546951294,46,100
car,random,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,8.275892904395777,-5.731995982950446,32.960670709609985,5,100
car,bo_tpe,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,8.726975952305963,-5.81313725519732,23.55835795402527,5,100
car,pso,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,12.574134503311445,-6.017740117968701,23.605137825012207,5,100
car,de,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,11.554051876408836,-5.617614672234426,26.92931723594665,4,100
car,ga,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,5.246675691928837,-5.4619698524467335,22.70348024368286,4,100
car,sa,1,1,0,42,1,isolate_O,0.9905875582064562,0.9971098265895952,13.03375259989533,-5.913407093682332,21.7378191947937,2,100
car,grid,2,2,0,42,2,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.73846983909607,46,100
car,random,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,7.422676655385898,-5.475442303013297,27.200783491134644,2,100
car,bo_tpe,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,7.422676655385898,-5.475442303013297,22.785561084747314,2,100
car,pso,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,10.729888993889654,-5.916984201672878,22.55307674407959,1,100
car,de,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,11.859568752042858,-5.8008124757476125,27.04921293258667,8,100
car,ga,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,8.151141817317118,-5.931066086899727,22.375200510025024,8,100
car,sa,2,2,0,42,2,isolate_O,0.9905875582064562,0.9971098265895952,5.554581916214206,-5.731448499289515,20.7002010345459,41,100
car,grid,3,3,0,42,3,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.20854115486145,46,100
car,random,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,14.559048193139695,-5.95048114186045,29.955224752426147,8,100
car,bo_tpe,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,12.674039911851311,-5.892022098150597,23.945981740951535,8,100
car,pso,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,11.792627469184623,-5.947132155618602,22.86603665351868,5,100
car,de,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,12.795190141266897,-5.698676712815454,30.707242250442505,2,100
car,ga,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,10.750186764933677,-5.454442108772227,24.47543430328369,2,100
car,sa,3,3,0,42,3,isolate_O,0.9905875582064562,0.9971098265895952,6.208952987635526,-5.607626058930197,22.38590979576111,2,100
car,grid,4,4,0,42,4,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.8927698135376,46,100
car,random,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,8.680464302472553,-5.736233452494183,33.93208909034729,1,100
car,bo_tpe,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,8.740202917021893,-6.0267246490778525,25.226768255233765,1,100
car,pso,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,10.809216145042432,-5.746333868121655,24.711247205734253,1,100
car,de,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,13.86112211144735,-5.796104049341491,28.01558923721313,1,100
car,ga,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,13.86112211144735,-5.796104049341491,22.38493037223816,1,100
car,sa,4,4,0,42,4,isolate_O,0.9905875582064562,0.9971098265895952,15.0,-5.759681081477221,22.106740713119507,1,100
car,grid,5,5,0,42,5,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,32.67630314826965,46,100
car,random,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,10.31815712960631,-5.668476218287022,31.36706042289734,3,100
car,bo_tpe,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,10.31815712960631,-5.668476218287022,23.298513650894165,3,100
car,pso,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,8.518487541270732,-5.505941936901795,24.051958084106445,12,100
car,de,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,6.111922338414468,-6.035211754460953,29.833198308944706,17,100
car,ga,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,11.098164029252413,-5.858680743377469,22.40908551216125,17,100
car,sa,5,5,0,42,5,isolate_O,0.9905875582064562,0.9971098265895952,7.477874495331032,-6.025556773377025,45.80633568763733,85,100
car,grid,6,6,0,42,6,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,33.3380491733551,46,100
car,random,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,10.008609430416747,-6.053082434978041,32.34452939033508,1,100
car,bo_tpe,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,10.11341214749338,-5.5418291255660295,23.33200454711914,1,100
car,pso,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,14.968068466723764,-5.865715624722977,25.79927372932434,1,100
car,de,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,12.895803757755688,-5.666924493091354,27.95466041564941,3,100
car,ga,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,10.849853625384815,-5.936897715368115,21.126023054122925,3,100
car,sa,6,6,0,42,6,isolate_O,0.9905875582064562,0.9971098265895952,10.038775757083762,-5.508197773355464,24.057977437973022,1,100
car,grid,7,7,0,42,7,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.719669580459595,46,100
car,random,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,7.687597372676775,-5.5876883814897855,30.616830348968502,3,100
car,bo_tpe,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,8.563873829279412,-5.516921025243226,24.009928941726685,3,100
car,pso,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,11.16401376654478,-5.624185980845866,23.67455744743347,3,100
car,de,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,7.584525089820209,-5.74588236120875,27.97207808494568,5,100
car,ga,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,7.584525089820209,-5.74588236120875,22.42686772346497,5,100
car,sa,7,7,0,42,7,isolate_O,0.9905875582064562,0.9971098265895952,6.997619700859106,-5.724507838211348,21.97873616218567,17,100
car,grid,8,8,0,42,8,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.61780524253845,46,100
car,random,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,12.383890804278398,-5.444597551999218,29.53097105026245,2,100
car,bo_tpe,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,12.383890804278398,-5.444597551999218,24.09872078895569,2,100
car,pso,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,7.705495599566765,-5.757132668551325,23.023334741592407,3,100
car,de,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,4.864256263707805,-5.467689987886887,22.66527938842773,3,100
car,ga,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,6.877425682872407,-5.751290319006915,20.22494435310364,3,100
car,sa,8,8,0,42,8,isolate_O,0.9905875582064562,0.9971098265895952,8.792452004599998,-5.9203301877771874,28.89934802055359,20,100
car,grid,9,9,0,42,9,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,32.09348440170288,46,100
car,random,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,7.210754816962588,-6.066929081918634,32.09883260726929,8,100
car,bo_tpe,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,12.2181969566349,-5.598850339063255,23.453826904296875,8,100
car,pso,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,6.550335923563339,-5.701514929535541,25.710817575454712,3,100
car,de,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,13.46476416140441,-5.924121304103717,28.47637343406677,1,100
car,ga,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,8.626799817763398,-5.545285111959229,28.695140600204468,1,100
car,sa,9,9,0,42,9,isolate_O,0.9905875582064562,0.9971098265895952,7.250131127254024,-5.703728185741504,23.5471625328064,9,100
car,grid,10,10,0,42,10,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,30.96140480041504,46,100
car,random,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,7.355339569386343,-5.763511634020965,30.67796421051025,8,100
car,bo_tpe,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,13.518667983018007,-5.524623160449963,23.9736852645874,8,100
car,pso,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,8.477302555570102,-5.7586747053126,27.49210500717163,9,100
car,de,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,8.780729595622622,-5.442392621366039,38.41540813446045,1,100
car,ga,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,13.298469246992394,-5.677976121301269,30.012390613555908,1,100
car,sa,10,10,0,42,10,isolate_O,0.9905875582064562,0.9971098265895952,15.0,-5.961208658084427,22.90239191055298,9,100
car,grid,11,11,0,42,11,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,33.430429458618164,46,100
car,random,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,9.259258404660695,-5.611677154875544,35.8817617893219,14,100
car,bo_tpe,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,8.669466091642903,-5.890236595708495,22.883750677108765,11,100
car,pso,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,10.72042979868751,-5.445916803720925,22.7298743724823,2,100
car,de,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,8.407211682049676,-5.777118357303113,25.855358839035038,5,100
car,ga,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,8.407211682049676,-5.777118357303113,21.02384614944458,5,100
car,sa,11,11,0,42,11,isolate_O,0.9905875582064562,0.9971098265895952,8.472574964197335,-5.676351430718549,20.281378746032715,23,100
car,grid,12,12,0,42,12,isolate_O,0.988413645162978,0.9971098265895952,3.888888888888889,-5.0,31.54895758628845,46,100
car,random,12,12,0,42,12,isolate_O,0.9905875582064562,0.9971098265895952,9.868359364510278,-5.681592689361569,31.88312268257141,9,100
car,bo_tpe,12,12,0,42,12,isolate_O,0.9905875582064562,0.9971098265895952,10.36849026695246,-5.86408197771975,22.742496967315677,9,100
