dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
vehicle,grid,0,0,0,42,0,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.43505859375,75,100
vehicle,random,0,0,0,42,0,isolate_O,0.8565468409586057,0.8529411764705882,11.275956394049544,-7.862896664754277,10.958030462265016,58,100
vehicle,bo_tpe,0,0,0,42,0,isolate_O,0.8610021786492374,0.8588235294117647,10.187363480956355,-7.186834566845072,15.920755863189695,12,100
vehicle,pso,0,0,0,42,0,isolate_O,0.8610021786492374,0.8470588235294118,10.542442328698192,-7.281701845771287,11.904441833496094,34,100
vehicle,de,0,0,0,42,0,isolate_O,0.8565359477124183,0.8529411764705882,13.680870319124992,-8.188060822283786,13.787311792373655,20,100
vehicle,ga,0,0,0,42,0,isolate_O,0.8565359477124183,0.8529411764705882,13.266261501312352,-8.003001590340451,16.00986933708191,20,100
vehicle,sa,0,0,0,42,0,isolate_O,0.8610021786492374,0.8470588235294118,9.283520447454276,-6.596093947598785,10.53939127922058,46,100
vehicle,grid,1,1,0,42,1,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.382188081741331,75,100
vehicle,random,1,1,0,42,1,isolate_O,0.8565141612200436,0.8647058823529412,13.550171607920678,-8.740214524580882,11.125353336334229,39,100
vehicle,bo_tpe,1,1,0,42,1,isolate_O,0.8624727668845316,0.8470588235294118,9.18302840415599,-6.814354421496974,11.803218126296995,13,100
vehicle,pso,1,1,0,42,1,isolate_O,0.8610021786492374,0.8470588235294118,9.706283662830328,-6.898089440096856,10.493179559707642,55,100
vehicle,de,1,1,0,42,1,isolate_O,0.8639651416122003,0.8352941176470589,10.285302705483314,-6.723753582623657,11.410351514816284,4,100
vehicle,ga,1,1,0,42,1,isolate_O,0.8624727668845317,0.8529411764705882,10.748210651066572,-7.382363849591254,12.553179264068604,4,100
vehicle,sa,1,1,0,42,1,isolate_O,0.8595206971677559,0.8470588235294118,8.790611157669142,-6.449857616073786,18.841338634490967,82,100
vehicle,grid,2,2,0,42,2,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.429101705551147,75,100
vehicle,random,2,2,0,42,2,isolate_O,0.8477015250544664,0.8470588235294118,7.422676655385898,-5.475442303013297,12.064875364303589,6,100
vehicle,bo_tpe,2,2,0,42,2,isolate_O,0.8610130718954249,0.8411764705882353,9.81994048013216,-6.790371773899641,14.737289667129517,33,100
vehicle,pso,2,2,0,42,2,isolate_O,0.8610021786492374,0.8470588235294118,9.47072074358079,-6.861510179111257,11.571037292480469,57,100
vehicle,de,2,2,0,42,2,isolate_O,0.8580283224400871,0.8470588235294118,9.004069258588876,-6.823851694001239,10.60104751586914,43,100
vehicle,ga,2,2,0,42,2,isolate_O,0.8595424836601306,0.8352941176470589,9.181088259388556,-6.289037890065747,11.971701383590698,24,100
vehicle,sa,2,2,0,42,2,isolate_O,0.8595206971677559,0.8411764705882353,10.11790474232333,-6.90467874593954,14.982787370681764,40,100
vehicle,grid,3,3,0,42,3,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.56426239013672,75,100
vehicle,random,3,3,0,42,3,isolate_O,0.8580718954248366,0.8294117647058824,8.97619996760847,-6.315053248071061,12.379676818847656,37,100
vehicle,bo_tpe,3,3,0,42,3,isolate_O,0.8624945533769063,0.8411764705882353,9.607821345782892,-6.71171700478288,11.185638904571531,68,100
vehicle,pso,3,3,0,42,3,isolate_O,0.8610130718954248,0.8352941176470589,10.244758532474156,-6.660092833709999,10.386056900024414,83,100
vehicle,de,3,3,0,42,3,isolate_O,0.8595098039215687,0.8470588235294118,9.44329616284235,-6.999240787708244,10.69772458076477,80,100
vehicle,ga,3,3,0,42,3,isolate_O,0.8580392156862745,0.8352941176470589,10.693416313390578,-6.895921244310795,9.953303813934326,90,100
vehicle,sa,3,3,0,42,3,isolate_O,0.8609912854030501,0.8352941176470589,10.676019018169924,-6.8806854890274085,11.505306243896484,46,100
vehicle,grid,4,4,0,42,4,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.65446925163269,75,100
vehicle,random,4,4,0,42,4,isolate_O,0.8580065359477125,0.8647058823529412,12.91002332112292,-8.468635408203724,11.098405361175535,15,100
vehicle,bo_tpe,4,4,0,42,4,isolate_O,0.8565250544662311,0.8647058823529412,13.269584420261609,-8.647120470171005,12.762412786483765,13,100
vehicle,pso,4,4,0,42,4,isolate_O,0.8609912854030501,0.8529411764705882,9.141824223653243,-6.764723408749326,10.414917707443236,47,100
vehicle,de,4,4,0,42,4,isolate_O,0.8595206971677559,0.8470588235294118,9.46608125496841,-6.713245667070973,15.59353256225586,8,100
vehicle,ga,4,4,0,42,4,isolate_O,0.8550653594771243,0.8529411764705882,11.149004130879916,-7.5634563383759,18.642704486846924,8,100
vehicle,sa,4,4,0,42,4,isolate_O,0.8580610021786492,0.8352941176470589,9.67320536115544,-6.499392876459785,18.66089391708374,7,100
vehicle,grid,5,5,0,42,5,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.56380033493042,75,100
vehicle,random,5,5,0,42,5,isolate_O,0.8521350762527232,0.8352941176470589,7.777553641207307,-6.118529065858326,11.283557891845703,38,100
vehicle,bo_tpe,5,5,0,42,5,isolate_O,0.8624945533769063,0.8411764705882353,9.889641665926623,-6.861519940810386,13.072343349456789,15,100
vehicle,pso,5,5,0,42,5,isolate_O,0.8609803921568628,0.8470588235294118,9.8256546496359,-7.217176287455038,12.401038885116575,18,100
vehicle,de,5,5,0,42,5,isolate_O,0.8624727668845316,0.8470588235294118,9.149911346743547,-6.833682679097413,10.948275804519652,56,100
vehicle,ga,5,5,0,42,5,isolate_O,0.8476579520697168,0.8529411764705882,11.467818088628132,-8.770540690130682,10.257560729980469,19,100
vehicle,sa,5,5,0,42,5,isolate_O,0.8565468409586057,0.8529411764705882,11.16763141785034,-7.868143859188078,18.31095838546753,22,100
vehicle,grid,6,6,0,42,6,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.32010293006897,75,100
vehicle,random,6,6,0,42,6,isolate_O,0.8594989106753813,0.8529411764705882,11.397163938436826,-7.562383173308746,11.171161651611328,9,100
vehicle,bo_tpe,6,6,0,42,6,isolate_O,0.8639542483660131,0.8470588235294118,9.710893014800874,-6.926767012466017,12.963454008102415,9,100
vehicle,pso,6,6,0,42,6,isolate_O,0.8625054466230937,0.8294117647058824,9.228984959678902,-6.439928719869148,10.97784185409546,23,100
vehicle,de,6,6,0,42,6,isolate_O,0.8580174291938999,0.8588235294117647,12.189356661812312,-8.059416614883181,15.546697616577148,20,100
vehicle,ga,6,6,0,42,6,isolate_O,0.8580174291938999,0.8588235294117647,11.024581068425924,-7.559276126798825,15.526992797851562,20,100
vehicle,sa,6,6,0,42,6,isolate_O,0.8609912854030501,0.8470588235294118,9.105175992061914,-6.817055498423755,11.99285101890564,67,100
vehicle,grid,7,7,0,42,7,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.436908960342407,75,100
vehicle,random,7,7,0,42,7,isolate_O,0.8580174291938997,0.8529411764705882,13.452063061559135,-8.114799499262991,11.154643774032593,15,100
vehicle,bo_tpe,7,7,0,42,7,isolate_O,0.8610021786492374,0.8588235294117647,10.139067154909108,-7.160720307589963,13.992114782333374,19,100
vehicle,pso,7,7,0,42,7,isolate_O,0.8624836601307189,0.8529411764705882,9.878165133963575,-7.042127903686951,12.7138512134552,58,100
vehicle,de,7,7,0,42,7,isolate_O,0.8610130718954249,0.8470588235294118,9.312857141970124,-6.577170848813026,12.386963844299316,40,100
vehicle,ga,7,7,0,42,7,isolate_O,0.8594989106753813,0.8529411764705882,10.529126705080024,-7.434765740807448,11.019734144210815,47,100
vehicle,sa,7,7,0,42,7,isolate_O,0.8609803921568627,0.8529411764705882,11.030963283491564,-7.387552160497583,13.511255502700806,74,100
vehicle,grid,8,8,0,42,8,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,12.022035121917725,75,100
vehicle,random,8,8,0,42,8,isolate_O,0.8535729847494553,0.8470588235294118,13.866363689264038,-8.254706909680028,11.057682991027832,30,100
vehicle,bo_tpe,8,8,0,42,8,isolate_O,0.8609803921568627,0.8470588235294118,9.923629285137189,-7.317256937676049,13.100245475769045,33,100
vehicle,pso,8,8,0,42,8,isolate_O,0.8580283224400871,0.8647058823529412,11.705495599566763,-7.9683289886935,14.810824394226074,23,100
vehicle,de,8,8,0,42,8,isolate_O,0.8565359477124183,0.8470588235294118,11.27655340310042,-7.386284613403926,12.194493293762209,3,100
vehicle,ga,8,8,0,42,8,isolate_O,0.8609803921568627,0.8529411764705882,10.845049461523091,-7.38575905435577,11.909772396087646,3,100
vehicle,sa,8,8,0,42,8,isolate_O,0.8610130718954248,0.8411764705882353,9.05471174776137,-6.438676522224408,9.77162742614746,42,100
vehicle,grid,9,9,0,42,9,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.644305944442747,75,100
vehicle,random,9,9,0,42,9,isolate_O,0.8580283224400873,0.8470588235294118,8.464436534386925,-6.42975982059752,10.68979001045227,21,100
vehicle,bo_tpe,9,9,0,42,9,isolate_O,0.8624618736383441,0.8529411764705882,10.840372870191876,-7.348567169556681,15.819392681121826,13,100
vehicle,pso,9,9,0,42,9,isolate_O,0.8610021786492374,0.8411764705882353,10.550335923563338,-6.774585989199335,11.975653409957886,43,100
vehicle,de,9,9,0,42,9,isolate_O,0.8594989106753813,0.8470588235294118,10.099635650319392,-7.391197819879214,12.729137182235718,25,100
vehicle,ga,9,9,0,42,9,isolate_O,0.852124183006536,0.8470588235294118,8.122899100117081,-6.0597016007095625,11.749541759490969,25,100
vehicle,sa,9,9,0,42,9,isolate_O,0.8624727668845316,0.8470588235294118,9.19372256557521,-6.817210553346561,10.41743779182434,62,100
vehicle,grid,10,10,0,42,10,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.793692350387571,75,100
vehicle,random,10,10,0,42,10,isolate_O,0.8565250544662311,0.8647058823529412,12.716541923354114,-8.423430518145915,11.378741264343262,60,100
vehicle,bo_tpe,10,10,0,42,10,isolate_O,0.8610021786492374,0.8470588235294118,9.32050253389613,-6.756888155535791,15.693293333053589,13,100
vehicle,pso,10,10,0,42,10,isolate_O,0.8624727668845317,0.8529411764705882,9.68223746589523,-7.046970369022132,13.360370874404907,35,100
vehicle,de,10,10,0,42,10,isolate_O,0.8610130718954249,0.8352941176470589,10.253095958859202,-6.739279770974306,13.810473203659058,21,100
vehicle,ga,10,10,0,42,10,isolate_O,0.8580283224400871,0.8470588235294118,10.657361096961262,-7.1564061094544815,12.47506618499756,64,100
vehicle,sa,10,10,0,42,10,isolate_O,0.8639542483660131,0.8470588235294118,9.684969040607427,-6.910757718133038,15.607940196990969,17,100
vehicle,grid,11,11,0,42,11,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.32621717453003,75,100
vehicle,random,11,11,0,42,11,isolate_O,0.8580501089324619,0.8352941176470589,10.344325692283483,-6.824439597712146,11.520409345626833,37,100
vehicle,bo_tpe,11,11,0,42,11,isolate_O,0.8624618736383441,0.8470588235294118,10.8881832214839,-7.327777382713231,13.21941304206848,19,100
vehicle,pso,11,11,0,42,11,isolate_O,0.8639542483660131,0.8529411764705882,10.15653410950307,-7.0743095967933245,10.52304220199585,42,100
vehicle,de,11,11,0,42,11,isolate_O,0.8610130718954248,0.8352941176470589,10.22810665084812,-6.670238818810461,12.174560070037842,30,100
vehicle,ga,11,11,0,42,11,isolate_O,0.8580283224400873,0.8470588235294118,8.388050276534264,-6.339655287586735,10.432408571243286,32,100
vehicle,sa,11,11,0,42,11,isolate_O,0.8624945533769063,0.8470588235294118,9.581577169789837,-6.72696808993528,11.196980953216553,28,100
vehicle,grid,12,12,0,42,12,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.544824600219728,75,100
vehicle,random,12,12,0,42,12,isolate_O,0.8506535947712418,0.8352941176470589,7.833561833708458,-6.130728502142858,10.905230283737184,9,100
vehicle,bo_tpe,12,12,0,42,12,isolate_O,0.8639651416122005,0.8411764705882353,9.89228893873312,-6.874086388656094,11.900182485580444,28,100
vehicle,pso,12,12,0,42,12,isolate_O,0.8624836601307189,0.8529411764705882,10.372083493055111,-7.196225269952922,14.179827690124512,51,100
vehicle,de,12,12,0,42,12,isolate_O,0.8580174291938997,0.8470588235294118,9.162184439863823,-6.964641777366316,11.214715957641602,52,100
vehicle,ga,12,12,0,42,12,isolate_O,0.8565686274509805,0.8411764705882353,10.386233602636157,-6.9662563578464685,10.636391401290894,72,100
vehicle,sa,12,12,0,42,12,isolate_O,0.8610021786492374,0.8588235294117647,9.47240299648004,-6.900054280171738,15.988724946975708,9,100
vehicle,grid,13,13,0,42,13,isolate_O,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.56039834022522,75,100
