dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
qsar-biodeg,grid,0,0,0,42,0,isolate_S,0.89339954916878,0.8720379146919431,3.888888888888889,-5.0,14.096852779388428,46,100
qsar-biodeg,random,0,0,0,42,0,isolate_S,0.8969498450267681,0.8767772511848341,4.123006644330971,-4.768188920364327,12.586540699005129,2,100
qsar-biodeg,bo_tpe,0,0,0,42,0,isolate_S,0.9005071851225697,0.8720379146919431,4.633719157563142,-5.7244334114343,11.51579475402832,19,100
qsar-biodeg,pso,0,0,0,42,0,isolate_S,0.9005071851225697,0.8672985781990521,6.652829708621542,-6.647865922116507,10.629201889038086,27,100
qsar-biodeg,de,0,0,0,42,0,isolate_S,0.8957523245984784,0.8625592417061612,5.872499829308458,-5.804326595710874,11.869040966033936,42,100
qsar-biodeg,ga,0,0,0,42,0,isolate_S,0.8957593688362919,0.8672985781990521,7.591172209784203,-7.14398725611837,11.967952251434326,28,100
qsar-biodeg,sa,0,0,0,42,0,isolate_S,0.9016694843617922,0.8767772511848341,5.699938314274472,-5.404677431189262,15.38470220565796,11,100
qsar-biodeg,grid,1,1,1,42,0,isolate_S,0.8826923076923077,0.8909952606635071,6.111111111111111,-5.0,14.158977270126345,36,100
qsar-biodeg,random,1,1,1,42,0,isolate_S,0.8826852634544942,0.9004739336492891,3.477100971163594,-4.084922145697362,12.772423267364502,2,100
qsar-biodeg,bo_tpe,1,1,1,42,0,isolate_S,0.8874189912651449,0.8909952606635071,5.691693006862814,-5.282057280849342,12.419821977615356,12,100
qsar-biodeg,pso,1,1,1,42,0,isolate_S,0.8862355593124824,0.8909952606635071,5.191534232511436,-4.96641561200663,10.933434009552002,19,100
qsar-biodeg,de,1,1,1,42,0,isolate_S,0.8767892364046208,0.9004739336492891,13.680870319124992,-12.030704586646776,15.92610216140747,6,100
qsar-biodeg,ga,1,1,1,42,0,isolate_S,0.8862496477881094,0.8862559241706162,6.911359766159665,-5.319710913852761,11.981202125549316,57,100
qsar-biodeg,sa,1,1,1,42,0,isolate_S,0.8874330797407721,0.8862559241706162,7.086557799518912,-5.663150112984884,14.566662311553957,10,100
qsar-biodeg,grid,2,2,2,42,0,isolate_S,0.8909904198365737,0.8388625592417062,10.555555555555555,-13.0,14.121183395385742,26,100
qsar-biodeg,random,2,2,2,42,0,isolate_S,0.8909833755987602,0.8436018957345972,11.578800584347263,-14.915481428534154,12.82788586616516,21,100
qsar-biodeg,bo_tpe,2,2,2,42,0,isolate_S,0.892166807551423,0.8578199052132701,1.708927810469527,-4.244662461558649,12.076159000396729,13,100
