dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
vehicle,grid,0,0,0,42,0,isolate_S,0.8550980392156863,0.8411764705882353,10.555555555555555,-7.0,11.198755741119385,75,100
vehicle,random,0,0,0,42,0,isolate_S,0.8565468409586057,0.8529411764705882,11.275956394049544,-7.862896664754277,10.751109838485718,58,100
vehicle,bo_tpe,0,0,0,42,0,isolate_S,0.8610021786492374,0.8588235294117647,10.187363480956355,-7.186834566845072,15.460957527160645,12,100
vehicle,pso,0,0,0,42,0,isolate_S,0.8610021786492374,0.8470588235294118,10.542442328698192,-7.281701845771287,11.517841577529907,34,100
vehicle,de,0,0,0,42,0,isolate_S,0.8565359477124183,0.8529411764705882,13.680870319124992,-8.188060822283786,13.576618432998655,20,100
vehicle,ga,0,0,0,42,0,isolate_S,0.8565359477124183,0.8529411764705882,13.266261501312352,-8.003001590340451,15.848711013793944,20,100
vehicle,sa,0,0,0,42,0,isolate_S,0.8610021786492374,0.8470588235294118,9.283520447454276,-6.596093947598785,15.102705955505373,46,100
vehicle,grid,1,1,1,42,0,isolate_S,0.8491394335511983,0.8352941176470589,10.555555555555555,-7.0,15.95973777770996,75,100
vehicle,random,1,1,1,42,0,isolate_S,0.8565250544662308,0.8352941176470589,9.791015900985752,-6.171741444883793,12.81799292564392,61,100
vehicle,bo_tpe,1,1,1,42,0,isolate_S,0.8521023965141612,0.8352941176470589,10.850085762955873,-7.0625342103497495,13.001155138015749,15,100
vehicle,pso,1,1,1,42,0,isolate_S,0.8506209150326797,0.8352941176470589,10.6637813254594,-6.972353324367559,12.037431955337524,34,100
vehicle,de,1,1,1,42,0,isolate_S,0.8491394335511983,0.8352941176470589,9.403169514730124,-6.8714486943305,12.46642518043518,33,100
vehicle,ga,1,1,1,42,0,isolate_S,0.8505991285403051,0.8294117647058824,12.841118643735424,-8.113270100770853,18.506266117095947,37,100
vehicle,sa,1,1,1,42,0,isolate_S,0.8520806100217865,0.8294117647058824,9.18907107258428,-5.990576806037815,14.363674640655518,37,100
vehicle,grid,2,2,2,42,0,isolate_S,0.847636165577342,0.8470588235294118,15.0,-9.0,11.556807279586792,94,100
vehicle,random,2,2,2,42,0,isolate_S,0.8431808278867102,0.8411764705882353,14.273255210020588,-8.098052661136002,10.558952331542969,5,100
vehicle,bo_tpe,2,2,2,42,0,isolate_S,0.8520588235294119,0.8352941176470589,13.238298131212057,-8.343854589166305,20.75624680519104,12,100
vehicle,pso,2,2,2,42,0,isolate_S,0.841732026143791,0.8352941176470589,5.314495147944513,-5.529862907240734,9.49378228187561,21,100
vehicle,de,2,2,2,42,0,isolate_S,0.847636165577342,0.8352941176470589,14.14125047492532,-8.596202322305722,15.108457803726196,20,100
vehicle,ga,2,2,2,42,0,isolate_S,0.8520697167755993,0.8294117647058824,12.972517916135924,-7.997160464929291,17.69475221633911,20,100
vehicle,sa,2,2,2,42,0,isolate_S,0.8476579520697168,0.8352941176470589,5.15590525946191,-5.363847760093404,8.823377132415771,42,100
vehicle,grid,3,3,3,42,0,isolate_S,0.8401742919389978,0.8529411764705882,8.333333333333334,-7.0,11.134040594100952,56,100
vehicle,random,3,3,3,42,0,isolate_S,0.843148148148148,0.8470588235294118,12.930931917021262,-8.383886339137863,10.616691827774048,5,100
vehicle,bo_tpe,3,3,3,42,0,isolate_S,0.8446187363834422,0.8235294117647058,12.1438734960395,-8.91094967574359,14.2698872089386,13,100
vehicle,pso,3,3,3,42,0,isolate_S,0.8461111111111113,0.8411764705882353,11.084759141237612,-7.549049207505158,12.284579515457152,21,100
vehicle,de,3,3,3,42,0,isolate_S,0.84760348583878,0.8588235294117647,11.166708338458273,-7.500839649538482,16.07817268371582,20,100
vehicle,ga,3,3,3,42,0,isolate_S,0.844640522875817,0.8411764705882353,13.445172138601816,-8.559686459236737,13.940978527069092,16,100
vehicle,sa,3,3,3,42,0,isolate_S,0.8431372549019608,0.8411764705882353,9.00748658194556,-7.373301130661447,9.318727254867554,34,100
vehicle,grid,4,4,4,42,0,isolate_S,0.8564596949891067,0.7647058823529411,15.0,-7.0,11.325865745544434,66,100
vehicle,random,4,4,4,42,0,isolate_S,0.8579084967320263,0.7764705882352941,10.834500761653292,-5.47989144444772,10.376728057861328,6,100
vehicle,bo_tpe,4,4,4,42,0,isolate_S,0.8638344226579522,0.7647058823529411,9.614107635313603,-5.574105128282265,12.490869998931885,6,100
vehicle,pso,4,4,4,42,0,isolate_S,0.860893246187364,0.7647058823529411,10.334165430738633,-5.6876682312854845,13.308617353439333,45,100
vehicle,de,4,4,4,42,0,isolate_S,0.8549673202614378,0.7647058823529411,7.739233746429086,-4.825718145165318,10.991906881332396,21,100
vehicle,ga,4,4,4,42,0,isolate_S,0.8594771241830065,0.7823529411764706,11.832656984085384,-8.097331953704318,13.379949569702148,35,100
vehicle,sa,4,4,4,42,0,isolate_S,0.8579302832244011,0.7764705882352941,11.384012211556264,-5.9950697762116505,10.051452159881592,41,100
vehicle,grid,5,5,5,42,0,isolate_S,0.8550108932461875,0.8176470588235294,15.0,-9.0,11.359105110168455,75,100
vehicle,random,5,5,5,42,0,isolate_S,0.8609477124183005,0.8352941176470589,14.273255210020588,-8.098052661136002,10.795363903045654,5,100
vehicle,bo_tpe,5,5,5,42,0,isolate_S,0.8609477124183007,0.8294117647058824,12.334937481625907,-7.466612229889527,17.7928466796875,5,100
vehicle,pso,5,5,5,42,0,isolate_S,0.8579956427015251,0.8411764705882353,10.693442428501951,-6.756203792944423,11.343246459960938,34,100
vehicle,de,5,5,5,42,0,isolate_S,0.8624074074074075,0.8294117647058824,14.243574730060027,-8.589114341478833,16.36560344696045,56,100
vehicle,ga,5,5,5,42,0,isolate_S,0.8609586056644881,0.8352941176470589,14.303611966483606,-8.083005484606014,18.881044149398804,37,100
vehicle,sa,5,5,5,42,0,isolate_S,0.8609259259259259,0.8294117647058824,14.498639982000812,-8.704197313126059,17.820677518844604,37,100
vehicle,grid,6,6,6,42,0,isolate_S,0.8447167755991286,0.8411764705882353,12.77777777777778,-9.0,11.281573295593262,65,100
vehicle,random,6,6,6,42,0,isolate_S,0.8505773420479305,0.8411764705882353,11.275956394049544,-7.862896664754277,10.689165115356444,58,100
vehicle,bo_tpe,6,6,6,42,0,isolate_S,0.8520697167755993,0.8411764705882353,8.451607202208441,-6.445901684990448,11.432101726531982,19,100
vehicle,pso,6,6,6,42,0,isolate_S,0.8550108932461875,0.8470588235294118,10.558455950057184,-7.580820399323651,11.223170042037964,34,100
vehicle,de,6,6,6,42,0,isolate_S,0.847668845315904,0.8294117647058824,14.453015161766498,-9.84957937782476,14.900789737701416,21,100
vehicle,ga,6,6,6,42,0,isolate_S,0.8535620915032679,0.8470588235294118,7.935574017148792,-6.322797324128618,15.064314365386965,50,100
vehicle,sa,6,6,6,42,0,isolate_S,0.8535511982570807,0.8411764705882353,8.482010624104353,-6.379436960138262,10.54787540435791,38,100
vehicle,grid,7,7,7,42,0,isolate_S,0.8416557734204794,0.8235294117647058,6.111111111111111,-5.0,11.584793090820312,56,100
vehicle,random,7,7,7,42,0,isolate_S,0.8446623093681918,0.8176470588235294,8.948575462891274,-6.83623171179476,10.575470685958862,2,100
vehicle,bo_tpe,7,7,7,42,0,isolate_S,0.8431808278867103,0.8117647058823529,8.165769221216163,-6.4978358206601845,11.53104567527771,2,100
