dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
wdbc,grid,0,0,0,42,0,baseline,0.9824175824175825,0.9736842105263158,1.666666666666667,-5.0,7.504804372787476,26,100
wdbc,random,0,0,0,42,0,baseline,0.9802197802197803,0.9736842105263158,8.062166509307968,-10.440751154283923,5.660026788711548,15,100
wdbc,bo_tpe,0,0,0,42,0,baseline,0.9824175824175825,0.9736842105263158,9.381048859528434,-11.07066034330779,5.029784679412842,15,100
wdbc,pso,0,0,0,42,0,baseline,0.9824175824175825,0.9736842105263158,1.3125849976866735,-4.927780772195349,5.012852907180786,1,100
wdbc,de,0,0,0,42,0,baseline,0.9824175824175825,0.9736842105263158,7.739233746429086,-9.715859261899304,5.307363271713257,1,100
wdbc,ga,0,0,0,42,0,baseline,0.9824175824175825,0.9736842105263158,7.264780083241144,-9.423637695450674,5.048547983169556,1,100
wdbc,sa,0,0,0,42,0,baseline,0.9846153846153847,0.9736842105263158,2.0072868583344174,-4.859817788860506,5.574365139007568,24,100
wdbc,grid,1,1,1,42,1,baseline,0.9802197802197803,0.9824561403508771,1.666666666666667,-5.0,6.735684871673584,36,100
wdbc,random,1,1,1,42,1,baseline,0.9802197802197803,0.9736842105263158,2.9353494846133987,-5.301298787939576,7.180456161499023,5,100
wdbc,bo_tpe,1,1,1,42,1,baseline,0.9802197802197803,0.9736842105263158,2.9353494846133987,-5.301298787939576,5.485496282577515,5,100
wdbc,pso,1,1,1,42,1,baseline,0.9802197802197803,0.9824561403508771,2.015182362805143,-5.053851677526773,4.751667261123657,6,100
wdbc,de,1,1,1,42,1,baseline,0.9802197802197803,0.9824561403508771,9.543626839231134,-14.709993158296776,4.7220563888549805,14,100
wdbc,ga,1,1,1,42,1,baseline,0.9802197802197803,0.9824561403508771,7.2617482490772165,-12.430899174404885,4.5280537605285645,14,100
wdbc,sa,1,1,1,42,1,baseline,0.9736263736263737,0.9736842105263158,3.563996053666161,-5.961565301116471,4.916102170944214,2,100
wdbc,grid,2,2,2,42,2,baseline,0.9758241758241759,0.9824561403508771,8.333333333333334,-15.0,5.445681810379028,25,100
wdbc,random,2,2,2,42,2,baseline,0.9758241758241759,0.9912280701754386,1.637474250797517,-6.3337530777714015,5.270960807800293,3,100
wdbc,bo_tpe,2,2,2,42,2,baseline,0.9758241758241759,0.9824561403508771,5.572223381524023,-12.214993221027951,4.7888572216033936,3,100
wdbc,pso,2,2,2,42,2,baseline,0.9758241758241759,0.9824561403508771,3.998391624247815,-10.537202380437265,4.52487850189209,3,100
wdbc,de,2,2,2,42,2,baseline,0.9780219780219781,0.9912280701754386,1.9192133114346621,-5.8008124757476125,5.185602188110352,2,100
wdbc,ga,2,2,2,42,2,baseline,0.9780219780219781,0.9912280701754386,1.9192133114346621,-5.8008124757476125,4.814311742782593,2,100
wdbc,sa,2,2,2,42,2,baseline,0.9758241758241759,0.9824561403508771,7.4435605160247,-13.915289784006095,4.721450328826904,37,100
wdbc,grid,3,3,3,42,3,baseline,0.9780219780219781,0.9824561403508771,3.8888888888888893,-7.0,5.532668828964233,25,100
wdbc,random,3,3,3,42,3,baseline,0.9780219780219781,0.9824561403508771,3.130398327524972,-6.559075523414958,5.262558698654175,2,100
wdbc,bo_tpe,3,3,3,42,3,baseline,0.9802197802197803,0.9824561403508771,2.1131360809086717,-5.454704541255166,4.981770753860474,14,100
wdbc,pso,3,3,3,42,3,baseline,0.9802197802197803,0.9824561403508771,2.358725333461147,-5.417815739591652,4.695743799209595,46,100
wdbc,de,3,3,3,42,3,baseline,0.9780219780219781,0.9824561403508771,2.503860998617103,-5.656947894451497,5.035535573959351,4,100
wdbc,ga,3,3,3,42,3,baseline,0.9802197802197803,0.9736842105263158,1.9353081191300303,-5.396237104781726,4.706353425979614,4,100
wdbc,sa,3,3,3,42,3,baseline,0.9780219780219781,0.9824561403508771,2.7733277749645877,-6.641465609645151,4.939600467681885,4,100
wdbc,grid,4,4,4,42,4,baseline,0.9780219780219781,0.9649122807017544,1.666666666666667,-5.0,5.575926780700684,26,100
wdbc,random,4,4,4,42,4,baseline,0.9802197802197803,0.956140350877193,2.511515371750848,-5.954404932115182,5.561691045761108,3,100
wdbc,bo_tpe,4,4,4,42,4,baseline,0.9802197802197801,0.9736842105263158,7.249246947237909,-11.293157165670872,4.953787565231323,3,100
wdbc,pso,4,4,4,42,4,baseline,0.9802197802197803,0.9649122807017544,3.85367535746924,-5.896570153513297,4.477669715881348,7,100
wdbc,de,4,4,4,42,4,baseline,0.9802197802197803,0.9473684210526315,0.24854419762366753,-4.523715588353175,5.049318552017212,3,100
wdbc,ga,4,4,4,42,4,baseline,0.9802197802197803,0.956140350877193,1.8848970544540453,-5.796104049341491,4.517143249511719,3,100
wdbc,sa,4,4,4,42,4,baseline,0.9802197802197803,0.956140350877193,3.0844614063419575,-6.44086645881214,4.4739089012146,27,100
wdbc,grid,5,5,5,42,5,baseline,0.9780219780219781,0.9824561403508771,10.555555555555557,-13.0,5.597532749176025,35,100
wdbc,random,5,5,5,42,5,baseline,0.9758241758241759,0.9824561403508771,8.045415719754011,-10.646537026246275,5.481852769851685,11,100
wdbc,bo_tpe,5,5,5,42,5,baseline,0.9780219780219781,0.9736842105263158,6.1624239507565095,-8.965271920577182,4.92932915687561,11,100
wdbc,pso,5,5,5,42,5,baseline,0.9780219780219781,0.9824561403508771,10.808241723783084,-12.78086503437318,4.552124977111816,1,100
wdbc,de,5,5,5,42,5,baseline,0.9802197802197803,0.9824561403508771,2.8480932866955637,-6.125585662828634,4.916168928146362,6,100
