dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
steel-faults,grid,0,0,0,0,0,isolate_F,0.7512664661342183,0.7917737789203085,1.666666666666667,-5.0,65.27861189842224,36,100
steel-faults,random,0,0,0,0,0,isolate_F,0.7493351312104553,0.8123393316195373,1.3713790490264728,-2.9866131606537287,58.181578397750854,26,100
steel-faults,bo_tpe,0,0,0,0,0,isolate_F,0.75900010372368,0.794344473007712,4.130817807301225,-5.65307229976247,48.49745297431946,19,100
steel-faults,pso,0,0,0,0,0,isolate_F,0.756421533035992,0.7917737789203085,3.341513930432927,-5.2218085634582305,45.33756875991821,30,100
steel-faults,de,0,0,0,0,0,isolate_F,0.7480572554714241,0.794344473007712,8.589103936094302,-8.552738426857989,53.2725567817688,13,100
steel-faults,ga,0,0,0,0,0,isolate_F,0.7583528679597553,0.7994858611825193,0.9942378107476957,-3.858464169599583,50.14999341964722,34,100
steel-faults,sa,0,0,0,0,0,isolate_F,0.7609355875946479,0.8071979434447301,0.3475695027866987,-3.54041087942006,46.94779562950134,26,100
steel-faults,grid,1,1,0,1,0,isolate_F,0.753874079452339,0.7917737789203085,1.666666666666667,-5.0,64.59413576126099,36,100
steel-faults,random,1,1,0,1,0,isolate_F,0.7435660201223939,0.7917737789203085,5.436966435001434,-7.536085080170576,82.5176260471344,1,100
steel-faults,bo_tpe,1,1,0,1,0,isolate_F,0.7512975832382532,0.7866323907455013,2.4268259626861224,-5.788997408851545,48.94871115684509,19,100
steel-faults,pso,1,1,0,1,0,isolate_F,0.7525816823980915,0.7917737789203085,2.0580360979905556,-5.028769116141828,47.864556312561035,23,100
steel-faults,de,1,1,0,1,0,isolate_F,0.7422777720153512,0.7866323907455013,5.433032379928325,-7.999414368376132,53.25072956085205,13,100
steel-faults,ga,1,1,0,1,0,isolate_F,0.7474328389171248,0.7994858611825193,7.595331399584031,-8.423607142589855,52.40794587135315,34,100
steel-faults,sa,1,1,0,1,0,isolate_F,0.7532268436884142,0.794344473007712,1.8907270162054743,-5.087757796256158,49.73064994812012,59,100
steel-faults,grid,2,2,0,2,0,isolate_F,0.7467856031531999,0.7609254498714653,6.111111111111111,-3.0,66.34940934181213,36,100
steel-faults,random,2,2,0,2,0,isolate_F,0.7461300694948657,0.7789203084832905,3.4730959867780946,-3.3739059648001906,60.756906032562256,1,100
steel-faults,bo_tpe,2,2,0,2,0,isolate_F,0.7532185457940047,0.7969151670951157,1.5000451721039758,-3.6647067865054535,56.27445960044861,3,100
steel-faults,pso,2,2,0,2,0,isolate_F,0.7525775334508868,0.7917737789203085,1.0950500272424977,-4.209120644714114,45.30266189575195,10,100
steel-faults,de,2,2,0,2,0,isolate_F,0.7474183176019085,0.7969151670951157,2.4667637512954546,-2.104022146198621,68.733407497406,21,100
steel-faults,ga,2,2,0,2,0,isolate_F,0.7525775334508868,0.7917737789203085,0.9942378107476957,-4.127771174234375,56.37611746788025,31,100
steel-faults,sa,2,2,0,2,0,isolate_F,0.7500010372368011,0.794344473007712,3.471364164771633,-5.18543067057751,65.54321074485779,1,100
steel-faults,grid,3,3,0,3,0,isolate_F,0.7448293745462088,0.8071979434447301,1.666666666666667,-3.0,72.0213611125946,36,100
steel-faults,random,3,3,0,3,0,isolate_F,0.7403236178819624,0.8123393316195373,1.3713790490264728,-2.9866131606537287,65.02368974685669,1,100
steel-faults,bo_tpe,3,3,0,3,0,isolate_F,0.7506254537911005,0.7994858611825193,1.5330960597085241,-2.197766288536072,67.42774629592896,12,100
steel-faults,pso,3,3,0,3,0,isolate_F,0.7486837464993258,0.794344473007712,2.291500516713291,-5.307829885840448,48.66671633720398,23,100
steel-faults,de,3,3,0,3,0,isolate_F,0.7454537911005081,0.7969151670951157,7.307702229625077,-8.093804023286097,89.74765348434448,13,100
steel-faults,ga,3,3,0,3,0,isolate_F,0.7499595477647547,0.7994858611825193,6.234907525915698,-7.433349459090962,153.40493893623352,13,100
steel-faults,sa,3,3,0,3,0,isolate_F,0.748036510735401,0.7969151670951157,3.165195291093533,-5.827292584068363,102.10203409194946,9,100
steel-faults,grid,4,4,0,4,0,isolate_F,0.7577491961414791,0.8071979434447301,1.666666666666667,-3.0,114.59928917884827,37,100
steel-faults,random,4,4,0,4,0,isolate_F,0.7564609480344362,0.8123393316195373,1.3713790490264728,-2.9866131606537287,97.3686134815216,46,100
steel-faults,bo_tpe,4,4,0,4,0,isolate_F,0.7603256923555648,0.8020565552699229,1.8917001843468229,-3.158348530169811,91.5517930984497,22,100
steel-faults,pso,4,4,0,4,0,isolate_F,0.7590395187221243,0.8046272493573264,1.830512548145309,-3.039031466417657,76.14369130134583,46,100
steel-faults,de,4,4,0,4,0,isolate_F,0.7461300694948656,0.7969151670951157,7.489587587587815,-8.093804023286097,97.47824096679688,13,100
steel-faults,ga,4,4,0,4,0,isolate_F,0.7557991909552951,0.7994858611825193,1.2647805871135493,-3.7336616057190795,84.9078598022461,34,100
steel-faults,sa,4,4,0,4,0,isolate_F,0.7577367492998651,0.7866323907455013,2.164764725930085,-3.5871852057692877,74.63835668563843,38,100
steel-faults,grid,5,5,0,5,0,isolate_F,0.7487127891297584,0.8071979434447301,1.666666666666667,-3.0,118.21202516555786,36,100
steel-faults,random,5,5,0,5,0,isolate_F,0.7487086401825537,0.8123393316195373,1.3713790490264728,-2.9866131606537287,108.56135725975037,3,100
steel-faults,bo_tpe,5,5,0,5,0,isolate_F,0.7538761539259413,0.8020565552699229,1.8910860105329121,-2.4722305311313724,100.50202083587646,12,100
steel-faults,pso,5,5,0,5,0,isolate_F,0.7532309926356188,0.7969151670951157,2.291500516713291,-2.491358814724319,96.82689929008484,29,100
