dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,0,0,42,0,isolate_O,1.0,1.0,-0.5555555555555554,3.0,8.352050304412842,18,100
banknote,random,0,0,0,42,0,isolate_O,1.0,1.0,5.976270078546495,-2.12659140529645,7.5561089515686035,1,100
banknote,bo_tpe,0,0,0,42,0,isolate_O,1.0,1.0,5.976270078546495,-2.12659140529645,5.935153245925903,1,100
banknote,pso,0,0,0,42,0,isolate_O,1.0,1.0,2.5791215948046524,2.6594675576322118,6.219624757766724,6,100
banknote,de,0,0,0,42,0,isolate_O,1.0,1.0,11.265404784005447,1.429600390998992,6.715729236602783,3,100
banknote,ga,0,0,0,42,0,isolate_O,1.0,1.0,11.265404784005447,1.429600390998992,6.301876783370972,3,100
banknote,sa,0,0,0,42,0,isolate_O,1.0,1.0,5.976270078546495,-2.12659140529645,6.8734962940216064,1,100
banknote,grid,1,1,0,42,1,isolate_O,1.0,1.0,-0.5555555555555554,3.0,8.267335653305054,18,100
banknote,random,1,1,0,42,1,isolate_O,1.0,1.0,3.3404400940514805,-2.0341591180411545,8.163603782653809,1,100
banknote,bo_tpe,1,1,0,42,1,isolate_O,1.0,1.0,3.3404400940514805,-2.0341591180411545,6.725332736968994,1,100
banknote,pso,1,1,0,42,1,isolate_O,1.0,1.0,6.84861382865687,-6.925655772795263,5.145456075668335,1,100
banknote,de,1,1,0,42,1,isolate_O,1.0,1.0,5.236432494005134,2.108346533866836,8.168477058410645,1,100
banknote,ga,1,1,0,42,1,isolate_O,1.0,1.0,5.236432494005134,2.108346533866836,7.692689895629883,1,100
banknote,sa,1,1,0,42,1,isolate_O,1.0,1.0,3.3404400940514805,-2.0341591180411545,5.668256044387817,1,100
banknote,grid,2,2,0,42,2,isolate_O,1.0,1.0,-0.5555555555555554,3.0,8.307860374450684,18,100
banknote,random,2,2,0,42,2,isolate_O,1.0,1.0,7.422676655385898,-5.475442303013297,7.599868535995483,2,100
banknote,bo_tpe,2,2,0,42,2,isolate_O,1.0,1.0,7.422676655385898,-5.475442303013297,6.0456154346466064,2,100
banknote,pso,2,2,0,42,2,isolate_O,1.0,1.0,10.778358178372292,-4.104209959619352,4.899579763412476,1,100
banknote,de,2,2,0,42,2,isolate_O,1.0,1.0,7.00201051931308,-1.8859105173876962,6.6811089515686035,3,100
banknote,ga,2,2,0,42,2,isolate_O,1.0,1.0,7.00201051931308,-1.8859105173876962,5.564439296722412,3,100
banknote,sa,2,2,0,42,2,isolate_O,1.0,1.0,1.4671345849505346,-2.7335726765514194,7.338570833206177,18,100
banknote,grid,3,3,0,42,3,isolate_O,1.0,1.0,-0.5555555555555554,3.0,8.133349180221558,18,100
banknote,random,3,3,0,42,3,isolate_O,1.0,1.0,6.015958051491509,-2.2533391928741136,7.521022796630859,1,100
banknote,bo_tpe,3,3,0,42,3,isolate_O,1.0,1.0,6.015958051491509,-2.2533391928741136,6.17149019241333,1,100
banknote,pso,3,3,0,42,3,isolate_O,1.0,1.0,7.55580736700383,-6.3220098774498865,5.625056266784668,1,100
banknote,de,3,3,0,42,3,isolate_O,1.0,1.0,11.025489304127937,-4.52108335084138,6.064556837081909,2,100
banknote,ga,3,3,0,42,3,isolate_O,1.0,1.0,11.025489304127937,-4.52108335084138,6.08158278465271,2,100
banknote,sa,3,3,0,42,3,isolate_O,1.0,1.0,6.015958051491509,-2.2533391928741136,6.259939193725586,1,100
banknote,grid,4,4,0,42,4,isolate_O,1.0,1.0,-0.5555555555555554,3.0,8.225202560424805,18,100
banknote,random,4,4,0,42,4,isolate_O,1.0,1.0,14.340596780273533,-5.149819514836999,7.183860778808594,1,100
