dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,0,0,42,0,isolate_S,1.0,1.0,-0.5555555555555554,3.0,8.243133544921875,18,100
banknote,random,0,0,0,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.035470962524414,1,100
banknote,bo_tpe,0,0,0,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.778432369232178,1,100
banknote,pso,0,0,0,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,6.173919200897217,6,100
banknote,de,0,0,0,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.573330402374268,3,100
banknote,ga,0,0,0,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.100283861160278,3,100
banknote,sa,0,0,0,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.575617790222168,1,100
banknote,grid,1,1,1,42,0,isolate_S,1.0,1.0,-0.5555555555555554,-1.0,7.928576231002808,18,100
banknote,random,1,1,1,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.885936737060547,1,100
banknote,bo_tpe,1,1,1,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.744995832443237,1,100
banknote,pso,1,1,1,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,5.929110288619995,6,100
banknote,de,1,1,1,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.321065425872803,3,100
banknote,ga,1,1,1,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.779619455337524,3,100
banknote,sa,1,1,1,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.591474771499634,1,100
banknote,grid,2,2,2,42,0,isolate_S,1.0,1.0,-0.5555555555555554,-1.0,8.050814390182495,18,100
banknote,random,2,2,2,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.943341970443726,1,100
banknote,bo_tpe,2,2,2,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.077367305755615,1,100
banknote,pso,2,2,2,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,5.855872869491577,6,100
banknote,de,2,2,2,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.562533855438232,3,100
banknote,ga,2,2,2,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.838905572891235,3,100
banknote,sa,2,2,2,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.438077688217163,1,100
banknote,grid,3,3,3,42,0,isolate_S,1.0,1.0,-0.5555555555555554,-1.0,7.8754448890686035,18,100
banknote,random,3,3,3,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.269381999969482,1,100
banknote,bo_tpe,3,3,3,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.768817186355591,1,100
banknote,pso,3,3,3,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,5.955213308334351,6,100
banknote,de,3,3,3,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.500460386276245,3,100
banknote,ga,3,3,3,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.979539394378662,3,100
banknote,sa,3,3,3,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.1900129318237305,1,100
banknote,grid,4,4,4,42,0,isolate_S,1.0,1.0,-0.5555555555555554,3.0,8.14313268661499,18,100
banknote,random,4,4,4,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.861141920089722,1,100
banknote,bo_tpe,4,4,4,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.619596719741821,1,100
banknote,pso,4,4,4,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,5.8305439949035645,6,100
banknote,de,4,4,4,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.523015022277832,3,100
banknote,ga,4,4,4,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.148798704147339,3,100
banknote,sa,4,4,4,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.931717395782471,1,100
banknote,grid,5,5,5,42,0,isolate_S,1.0,1.0,1.666666666666667,-3.0,7.883116245269775,18,100
banknote,random,5,5,5,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.8566436767578125,1,100
banknote,bo_tpe,5,5,5,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.605293035507202,1,100
banknote,pso,5,5,5,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,6.013354063034058,6,100
banknote,de,5,5,5,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.758971929550171,3,100
banknote,ga,5,5,5,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.9246745109558105,3,100
banknote,sa,5,5,5,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.326049089431763,1,100
banknote,grid,6,6,6,42,0,isolate_S,1.0,1.0,-2.7777777777777777,1.0,8.059701442718506,18,100
banknote,random,6,6,6,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.826734304428101,1,100
banknote,bo_tpe,6,6,6,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.792516469955444,1,100
banknote,pso,6,6,6,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,6.0829010009765625,6,100
banknote,de,6,6,6,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.531103610992432,3,100
banknote,ga,6,6,6,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.787847995758057,3,100
banknote,sa,6,6,6,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.5314435958862305,1,100
banknote,grid,7,7,7,42,0,isolate_S,1.0,0.9963636363636363,-2.7777777777777777,1.0,8.71536898612976,18,100
banknote,random,7,7,7,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.927082777023315,1,100
banknote,bo_tpe,7,7,7,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.13202428817749,1,100
banknote,pso,7,7,7,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,5.639861822128296,6,100
banknote,de,7,7,7,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.313819169998169,3,100
banknote,ga,7,7,7,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,7.684403657913208,3,100
banknote,sa,7,7,7,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,6.84826397895813,1,100
banknote,grid,8,8,8,42,0,isolate_S,1.0,1.0,-0.5555555555555554,-1.0,9.012605428695679,18,100
banknote,random,8,8,8,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,9.899606227874756,1,100
banknote,bo_tpe,8,8,8,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.750616073608398,1,100
banknote,pso,8,8,8,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,6.450697660446167,6,100
banknote,de,8,8,8,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.643343925476074,3,100
banknote,ga,8,8,8,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,5.821506977081299,3,100
banknote,sa,8,8,8,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.9057700634002686,1,100
banknote,grid,9,9,9,42,0,isolate_S,1.0,1.0,1.666666666666667,-3.0,7.944030523300171,18,100
banknote,random,9,9,9,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.120665550231934,1,100
banknote,bo_tpe,9,9,9,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,5.782908916473389,1,100
banknote,pso,9,9,9,42,0,isolate_S,1.0,1.0,2.5791215948046524,2.6594675576322118,6.112622499465942,6,100
banknote,de,9,9,9,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.403934717178345,3,100
banknote,ga,9,9,9,42,0,isolate_S,1.0,1.0,11.265404784005447,1.429600390998992,6.167050123214722,3,100
banknote,sa,9,9,9,42,0,isolate_S,1.0,1.0,5.976270078546495,-2.12659140529645,7.579320192337036,1,100
banknote,grid,10,10,10,42,0,isolate_S,1.0,1.0,-0.5555555555555554,3.0,8.083179712295532,18,100
