dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,0,0,42,0,baseline,1.0,1.0,-0.5555555555555554,3.0,8.790978908538818,18,100
banknote,random,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,10.449901103973389,1,100
banknote,bo_tpe,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,13.910964488983154,1,100
banknote,pso,0,0,0,42,0,baseline,1.0,1.0,2.5791215948046524,2.6594675576322118,13.457971096038818,6,100
banknote,de,0,0,0,42,0,baseline,1.0,1.0,11.265404784005447,1.429600390998992,10.683090448379517,3,100
banknote,ga,0,0,0,42,0,baseline,1.0,1.0,11.265404784005447,1.429600390998992,13.046554327011108,3,100
banknote,sa,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,7.488760709762573,1,100
banknote,grid,1,1,1,42,1,baseline,1.0,1.0,-0.5555555555555554,-1.0,8.80134391784668,18,100
banknote,random,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,8.811995267868042,1,100
banknote,bo_tpe,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,6.418198823928833,1,100
banknote,pso,1,1,1,42,1,baseline,1.0,1.0,4.36088912096986,-0.444398423549341,5.874944448471069,1,100
banknote,de,1,1,1,42,1,baseline,1.0,1.0,5.236432494005134,2.108346533866836,9.070339441299438,1,100
banknote,ga,1,1,1,42,1,baseline,1.0,1.0,5.236432494005134,2.108346533866836,8.251338720321655,1,100
banknote,sa,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,4.955598831176758,1,100
banknote,grid,2,2,2,42,2,baseline,1.0,1.0,-0.5555555555555554,-1.0,8.762155055999756,18,100
banknote,random,2,2,2,42,2,baseline,1.0,1.0,7.422676655385898,-5.475442303013297,8.194487810134888,2,100
banknote,bo_tpe,2,2,2,42,2,baseline,1.0,1.0,7.422676655385898,-5.475442303013297,6.196256637573242,2,100
banknote,pso,2,2,2,42,2,baseline,1.0,1.0,10.778358178372292,-4.104209959619352,5.505049705505371,1,100
banknote,de,2,2,2,42,2,baseline,1.0,1.0,7.00201051931308,-1.8859105173876962,7.021601676940918,3,100
banknote,ga,2,2,2,42,2,baseline,1.0,1.0,7.00201051931308,-1.8859105173876962,5.4649577140808105,3,100
banknote,sa,2,2,2,42,2,baseline,1.0,1.0,1.4671345849505346,-2.7335726765514194,7.788829803466797,18,100
banknote,grid,3,3,3,42,3,baseline,1.0,1.0,-0.5555555555555554,-1.0,8.900307655334473,18,100
banknote,random,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,8.528136014938354,1,100
banknote,bo_tpe,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,6.757535934448242,1,100
banknote,pso,3,3,3,42,3,baseline,1.0,1.0,7.55580736700383,-6.3220098774498865,6.169581174850464,1,100
banknote,de,3,3,3,42,3,baseline,1.0,1.0,11.025489304127937,-4.52108335084138,6.838781833648682,2,100
banknote,ga,3,3,3,42,3,baseline,1.0,1.0,11.025489304127937,-4.52108335084138,6.870781660079956,2,100
banknote,sa,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,9.771713733673096,1,100
banknote,grid,4,4,4,42,4,baseline,1.0,1.0,-0.5555555555555554,3.0,8.752792358398438,18,100
banknote,random,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,7.724660396575928,1,100
banknote,bo_tpe,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,6.061460256576538,1,100
banknote,pso,4,4,4,42,4,baseline,1.0,1.0,12.6376291411855,-7.205363499590426,5.490337610244751,1,100
banknote,de,4,4,4,42,4,baseline,1.0,1.0,13.86112211144735,-5.796104049341491,5.623121500015259,1,100
banknote,ga,4,4,4,42,4,baseline,1.0,1.0,13.86112211144735,-5.796104049341491,6.489037752151489,1,100
banknote,sa,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,7.201775074005127,1,100
banknote,grid,5,5,5,42,5,baseline,1.0,1.0,1.666666666666667,-3.0,14.34839391708374,18,100
banknote,random,5,5,5,42,5,baseline,1.0,1.0,-0.8656168932114721,1.5349963428825895,11.539984464645386,1,100
banknote,bo_tpe,5,5,5,42,5,baseline,1.0,1.0,-0.8656168932114721,1.5349963428825895,9.040870428085327,1,100
banknote,pso,5,5,5,42,5,baseline,1.0,1.0,10.156448909697165,2.3026273708358147,6.351677179336548,1,100
banknote,de,5,5,5,42,5,baseline,1.0,1.0,11.100058474907605,-0.4570657847431132,7.518350839614868,1,100
banknote,ga,5,5,5,42,5,baseline,1.0,1.0,11.100058474907605,-0.4570657847431132,12.558926582336426,1,100
banknote,sa,5,5,5,42,5,baseline,1.0,1.0,2.702160669254232,1.9350540157254807,8.470361471176147,1,100
banknote,grid,6,6,6,42,6,baseline,1.0,1.0,-2.7777777777777777,1.0,10.02924108505249,18,100
banknote,random,6,6,6,42,6,baseline,1.0,1.0,12.857203028720033,-9.02436350457881,10.532256364822388,1,100
banknote,bo_tpe,6,6,6,42,6,baseline,1.0,1.0,12.857203028720033,-9.02436350457881,9.120357036590576,1,100
banknote,pso,6,6,6,42,6,baseline,1.0,1.0,13.214026242073555,-4.364199797889398,6.437036752700806,1,100
banknote,de,6,6,6,42,6,baseline,1.0,1.0,14.74889980372933,-3.6103870930713704,7.886709451675415,3,100
banknote,ga,6,6,6,42,6,baseline,1.0,1.0,14.74889980372933,-3.6103870930713704,7.01128888130188,3,100
banknote,sa,6,6,6,42,6,baseline,1.0,1.0,12.857203028720033,-9.02436350457881,6.563357353210449,1,100
banknote,grid,7,7,7,42,7,baseline,1.0,0.9963636363636363,-2.7777777777777777,1.0,10.57027006149292,18,100
banknote,random,7,7,7,42,7,baseline,1.0,1.0,3.7681846288178704,-1.9776267990430583,11.273930549621582,1,100
banknote,bo_tpe,7,7,7,42,7,baseline,1.0,1.0,3.7681846288178704,-1.9776267990430583,9.998428344726562,1,100
banknote,pso,7,7,7,42,7,baseline,1.0,1.0,13.630995250718243,-1.2840378261891452,9.79386854171753,2,100
banknote,de,7,7,7,42,7,baseline,1.0,0.9963636363636363,7.501909332093339,1.1498484174523576,16.237569332122803,1,100
