dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
breast-w,grid,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857143,6.111111111111111,-7.0,21.227853298187256,6,100
breast-w,random,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857143,6.403935408357594,-7.1051727576782335,6.056306600570679,13,100
breast-w,bo_tpe,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857143,7.164750018200413,-7.408022102554927,5.018776178359985,12,100
breast-w,pso,0,0,0,42,0,baseline,0.9695945945945945,0.9571428571428572,4.856174727729076,-5.911778948911404,5.072399139404297,1,100
breast-w,de,0,0,0,42,0,baseline,0.9695785070785071,0.9642857142857143,2.1896743771209075,-5.253698035516349,5.2555928230285645,1,100
breast-w,ga,0,0,0,42,0,baseline,0.9695945945945945,0.9571428571428572,8.768934611418802,-7.825304631994147,4.582642555236816,1,100
breast-w,sa,0,0,0,42,0,baseline,0.971380308880309,0.9642857142857143,5.952735304417031,-7.002345787399042,5.017794847488403,20,100
breast-w,grid,1,1,1,42,1,baseline,0.9767535392535394,0.95,6.111111111111111,-7.0,5.257742404937744,7,100
breast-w,random,1,1,1,42,1,baseline,0.9767535392535394,0.95,2.9353494846133987,-5.301298787939576,5.127327919006348,5,100
breast-w,bo_tpe,1,1,1,42,1,baseline,0.9767535392535394,0.95,2.9353494846133987,-5.301298787939576,4.955051422119141,5,100
breast-w,pso,1,1,1,42,1,baseline,0.9767535392535394,0.95,5.873233287877447,-7.608532144190182,6.755059003829956,1,100
breast-w,de,1,1,1,42,1,baseline,0.9767535392535394,0.95,10.00729345260105,-9.952642356251282,7.284571647644043,3,100
breast-w,ga,1,1,1,42,1,baseline,0.9767535392535394,0.95,10.00729345260105,-9.952642356251282,4.820880889892578,3,100
breast-w,sa,1,1,1,42,1,baseline,0.9767535392535394,0.95,5.933698622021118,-7.271093265912203,4.804708480834961,2,100
breast-w,grid,2,2,2,42,2,baseline,0.9678088803088803,0.9571428571428572,-5.0,-5.0,5.188224792480469,6,100
breast-w,random,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-0.9070273192431504,-3.8531226056880534,4.939636468887329,2,100
breast-w,bo_tpe,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-0.9070273192431504,-3.8531226056880534,5.107994794845581,2,100
breast-w,pso,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-2.3450222697931133,-5.543245467247072,4.797206878662109,2,100
breast-w,de,2,2,2,42,2,baseline,0.9678088803088803,0.9642857142857143,6.378885592175776,-13.345513041568255,4.970970630645752,1,100
breast-w,ga,2,2,2,42,2,baseline,0.9678088803088803,0.9642857142857143,4.444695670040389,-11.079899562355257,4.598910570144653,1,100
breast-w,sa,2,2,2,42,2,baseline,0.9678088803088803,0.9714285714285714,-1.946766275621662,-4.557828952483224,7.1892571449279785,15,100
breast-w,grid,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,10.555555555555557,-13.0,6.552022695541382,7,100
breast-w,random,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,9.821648127991251,-12.155394215373107,4.90438437461853,2,100
breast-w,bo_tpe,3,3,3,42,3,baseline,0.9803410553410554,0.9357142857142857,0.4398212533211523,-5.716030623076575,4.698790550231934,2,100
breast-w,pso,3,3,3,42,3,baseline,0.9803410553410554,0.9357142857142857,1.1369290751611218,-6.050299243454013,4.368956089019775,2,100
breast-w,de,3,3,3,42,3,baseline,0.978555341055341,0.9285714285714286,9.44329616284235,-11.063122357761518,4.632981300354004,4,100
breast-w,ga,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,10.536998989312332,-13.087177502124897,4.286782741546631,4,100
breast-w,sa,3,3,3,42,3,baseline,0.9803410553410552,0.9285714285714286,8.199148033677552,-10.784190700043473,4.40830397605896,4,100
breast-w,grid,4,4,4,42,4,baseline,0.97493564993565,0.95,8.333333333333334,-9.0,5.2891645431518555,6,100
breast-w,random,4,4,4,42,4,baseline,0.97493564993565,0.95,8.954576491945417,-11.110389079553226,5.561698913574219,3,100
breast-w,bo_tpe,4,4,4,42,4,baseline,0.97493564993565,0.95,8.954576491945417,-11.110389079553226,4.806166648864746,3,100
breast-w,pso,4,4,4,42,4,baseline,0.9731660231660232,0.95,-1.987273100331656,-5.661413706687833,4.490484952926636,7,100
breast-w,de,4,4,4,42,4,baseline,0.9749517374517375,0.9571428571428572,1.998747996445096,-10.914738818136932,4.990469455718994,2,100
breast-w,ga,4,4,4,42,4,baseline,0.97493564993565,0.95,11.038024139716146,-13.275371555902415,4.47991681098938,2,100
breast-w,sa,4,4,4,42,4,baseline,0.97493564993565,0.95,13.06592617596066,-14.45919802269319,4.249107837677002,10,100
breast-w,grid,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,6.111111111111111,-15.0,5.03672456741333,6,100
breast-w,random,5,5,5,42,5,baseline,0.9731660231660232,0.9642857142857143,2.3066603786880613,-6.397056418117984,5.087865591049194,7,100
breast-w,bo_tpe,5,5,5,42,5,baseline,0.9731660231660232,0.9642857142857143,3.0908816567120327,-7.341647047205406,4.761821508407593,7,100
breast-w,pso,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,-2.995409509904796,-6.152165897672621,4.621636152267456,1,100
breast-w,de,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,5.3065112208428395,-13.844140128380563,4.497994899749756,2,100
breast-w,ga,5,5,5,42,5,baseline,0.9731660231660232,0.9571428571428572,2.348542010807733,-5.9714216981817385,4.2926483154296875,2,100
breast-w,sa,5,5,5,42,5,baseline,0.9606499356499357,0.95,13.080255989713605,-0.6263500969076877,4.8859803676605225,6,100
breast-w,grid,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,1.666666666666667,-9.0,5.273549795150757,6,100
breast-w,random,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,3.0651259746983968,-11.094879114175917,5.008908987045288,2,100
breast-w,bo_tpe,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,-2.966215587060308,-6.077552486718132,5.087765216827393,2,100
breast-w,pso,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,-2.5538221197758393,-6.3751953812845255,4.628862619400024,3,100
breast-w,de,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,0.11745751822428918,-8.351882787167042,4.934779405593872,1,100
breast-w,ga,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,2.381344795907565,-9.949124167340402,4.77501916885376,1,100
breast-w,sa,6,6,6,42,6,baseline,0.9695785070785071,0.9642857142857143,-3.68548486080572,-5.499351249520397,5.047165632247925,2,100
breast-w,grid,7,7,7,42,7,baseline,0.9660070785070787,0.9785714285714285,10.555555555555557,-15.0,5.251297473907471,6,100
breast-w,random,7,7,7,42,7,baseline,0.9660070785070787,0.9785714285714285,4.0568586509280085,-8.646389413000897,5.002830505371094,2,100
breast-w,bo_tpe,7,7,7,42,7,baseline,0.9660231660231661,0.9857142857142858,3.073802219384288,-8.694036112302477,5.071366786956787,2,100
breast-w,pso,7,7,7,42,7,baseline,0.9660231660231661,0.9857142857142858,1.7463585878242773,-7.925987873822443,4.524839401245117,1,100
breast-w,de,7,7,7,42,7,baseline,0.9660231660231661,0.9857142857142858,0.7575052347344295,-6.988626494112362,4.87523078918457,2,100
breast-w,ga,7,7,7,42,7,baseline,0.9660231660231661,0.9857142857142858,4.689743086672992,-12.209708950281314,4.895495176315308,2,100
breast-w,sa,7,7,7,42,7,baseline,0.9660231660231661,0.9857142857142858,2.1233741969994586,-8.091890627042948,4.323530197143555,2,100
breast-w,grid,8,8,8,42,8,baseline,0.9713963963963964,0.9571428571428572,-0.5555555555555554,-7.0,5.178293704986572,6,100
breast-w,random,8,8,8,42,8,baseline,0.9714124839124839,0.9571428571428572,6.9817250588027875,-2.0233595996234968,5.114179372787476,4,100
breast-w,bo_tpe,8,8,8,42,8,baseline,0.9714124839124839,0.9571428571428572,9.515215547115005,-1.8499966659102436,5.156725645065308,4,100
breast-w,pso,8,8,8,42,8,baseline,0.9731821106821107,0.95,1.1992503681438254,-3.6001656355471208,4.6029064655303955,1,100
breast-w,de,8,8,8,42,8,baseline,0.9749678249678249,0.95,1.5394455321112144,-3.8260093227996843,4.652323961257935,4,100
breast-w,ga,8,8,8,42,8,baseline,0.9731821106821107,0.9571428571428572,0.24445136455424832,-4.3852216605022925,4.616535902023315,2,100
breast-w,sa,8,8,8,42,8,baseline,0.9714124839124839,0.9571428571428572,13.733577545832357,-1.8522690094653629,4.494976282119751,4,100
breast-w,grid,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,-0.5555555555555554,-7.0,5.124492168426514,6,100
breast-w,random,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,4.915465862682922,-12.591068478733021,5.200417995452881,2,100
breast-w,bo_tpe,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,4.915465862682922,-12.591068478733021,5.872416019439697,2,100
breast-w,pso,9,9,9,42,9,baseline,0.9731660231660232,0.9571428571428572,-1.4496640764366608,-4.089623872819255,4.567601442337036,5,100
breast-w,de,9,9,9,42,9,baseline,0.9731660231660232,0.95,4.698886539545761,-13.827224447338065,4.835548162460327,2,100
breast-w,ga,9,9,9,42,9,baseline,0.9731660231660232,0.95,4.698886539545761,-13.827224447338065,4.74995756149292,2,100
breast-w,sa,9,9,9,42,9,baseline,0.9749517374517375,0.9571428571428572,-1.3842081714191359,-4.405496226525782,4.5547356605529785,5,100
breast-w,grid,10,10,10,42,10,baseline,0.9749195624195626,0.9571428571428572,-0.5555555555555554,-5.0,5.068679332733154,6,100
breast-w,random,10,10,10,42,10,baseline,0.9713642213642213,0.9642857142857143,1.298537436853766,-3.5431594247841964,4.88219690322876,1,100
breast-w,bo_tpe,10,10,10,42,10,baseline,0.97493564993565,0.9571428571428572,0.12049111100656873,-5.978884108648172,4.801056385040283,1,100
breast-w,pso,10,10,10,42,10,baseline,0.9713481338481339,0.9571428571428572,6.5053744050555995,-10.222369796229698,4.178500652313232,2,100
breast-w,de,10,10,10,42,10,baseline,0.9731338481338481,0.9571428571428572,-0.4777113265094517,-3.3934170121754086,6.962748050689697,3,100
breast-w,ga,10,10,10,42,10,baseline,0.9731499356499358,0.9571428571428572,-0.34577528588592255,-6.442617518692671,5.6393938064575195,3,100
breast-w,sa,10,10,10,42,10,baseline,0.9713481338481339,0.9642857142857143,10.458844697743185,-13.506339683768067,5.256542205810547,1,100
breast-w,grid,11,11,11,42,11,baseline,0.9749195624195626,0.9428571428571428,-0.5555555555555554,-5.0,5.703656196594238,6,100
breast-w,random,11,11,11,42,11,baseline,0.9731338481338481,0.9357142857142857,-1.6982676480954573,-3.61798775117707,5.247521877288818,2,100
breast-w,bo_tpe,11,11,11,42,11,baseline,0.9749195624195626,0.9357142857142857,-0.3007003978318228,-3.2196306926135376,4.8132853507995605,2,100
breast-w,pso,11,11,11,42,11,baseline,0.9731338481338481,0.9571428571428572,9.956277946974271,-8.967915254230572,4.506187915802002,2,100
breast-w,de,11,11,11,42,11,baseline,0.9749195624195626,0.9571428571428572,2.065497101208962,-4.351284528917217,4.849045753479004,1,100
breast-w,ga,11,11,11,42,11,baseline,0.9749195624195626,0.9571428571428572,2.065497101208962,-4.351284528917217,4.587069272994995,1,100
breast-w,sa,11,11,11,42,11,baseline,0.9731338481338481,0.95,1.8056052129272238,-9.152997139929505,4.929718732833862,9,100
breast-w,grid,12,12,12,42,12,baseline,0.9695785070785071,0.95,15.0,-15.0,5.061855316162109,6,100
breast-w,random,12,12,12,42,12,baseline,0.9695785070785071,0.9642857142857143,10.362683081288447,-12.107098443739737,5.309362173080444,2,100
breast-w,bo_tpe,12,12,12,42,12,baseline,0.9713481338481339,0.9642857142857143,1.2647105230670574,-5.702407834459938,5.410826683044434,2,100
breast-w,pso,12,12,12,42,12,baseline,0.9695785070785071,0.9642857142857143,10.080990705981755,-11.71292328277154,4.364092111587524,2,100
breast-w,de,12,12,12,42,12,baseline,0.9695785070785071,0.9642857142857143,12.92618747409361,-14.123275457820565,5.0626044273376465,3,100
breast-w,ga,12,12,12,42,12,baseline,0.9695785070785071,0.95,12.47305936359979,-13.377579115229782,4.850347280502319,3,100
breast-w,sa,12,12,12,42,12,baseline,0.9695624195624195,0.9642857142857143,1.754018835821054,-6.31535055625593,4.728426218032837,2,100
breast-w,grid,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,3.8888888888888893,-9.0,5.020307779312134,6,100
breast-w,random,13,13,13,42,13,baseline,0.9731660231660232,0.9571428571428572,3.742360253016221,-8.875305548739373,5.05630898475647,1,100
