dataset,n_samples,n_features,n_classes,ratio_nd,size_class,dim_class,winner_acc,winner_efficiency
diabetes,768,8,2,96.0,small,low,Random,Random
breast-w,699,9,2,77.66666666666667,small,low,SA,GA
vehicle,846,18,4,47.0,small,low,Grid,BO-TPE
wdbc,569,30,2,18.966666666666665,small,high,Grid,Random
car,1728,6,4,288.0,mid+,low,Random,PSO
ilpd,583,10,2,58.3,small,low,SA,DE
qsar-biodeg,1055,41,2,25.73170731707317,mid+,high,Random,Random
banknote,1372,4,2,343.0,mid+,low,Random,PSO
steel-faults,1941,27,7,71.88888888888889,mid+,high,Grid,SA
ozone-8hr,2534,72,2,35.19444444444444,mid+,high,Grid,DE
