dataset,optimizer,seed,eval,best_so_far
qsar-biodeg,grid,0,1,0.6623203719357565
qsar-biodeg,grid,0,2,0.6623203719357565
qsar-biodeg,grid,0,3,0.6623203719357565
qsar-biodeg,grid,0,4,0.6623203719357565
qsar-biodeg,grid,0,5,0.6623203719357565
qsar-biodeg,grid,0,6,0.669420963651733
qsar-biodeg,grid,0,7,0.669420963651733
qsar-biodeg,grid,0,8,0.669420963651733
qsar-biodeg,grid,0,9,0.669420963651733
qsar-biodeg,grid,0,10,0.669420963651733
qsar-biodeg,grid,0,11,0.669420963651733
qsar-biodeg,grid,0,12,0.669420963651733
qsar-biodeg,grid,0,13,0.669420963651733
qsar-biodeg,grid,0,14,0.669420963651733
qsar-biodeg,grid,0,15,0.8234643561566639
qsar-biodeg,grid,0,16,0.8412651451112989
qsar-biodeg,grid,0,17,0.8412651451112989
qsar-biodeg,grid,0,18,0.8412651451112989
qsar-biodeg,grid,0,19,0.8412651451112989
qsar-biodeg,grid,0,20,0.8412651451112989
qsar-biodeg,grid,0,21,0.8412651451112989
qsar-biodeg,grid,0,22,0.8412651451112989
qsar-biodeg,grid,0,23,0.8412651451112989
qsar-biodeg,grid,0,24,0.8412651451112989
qsar-biodeg,grid,0,25,0.8495703014933784
qsar-biodeg,grid,0,26,0.8780078895463511
qsar-biodeg,grid,0,27,0.8780078895463511
qsar-biodeg,grid,0,28,0.8780078895463511
qsar-biodeg,grid,0,29,0.8780078895463511
qsar-biodeg,grid,0,30,0.8780078895463511
qsar-biodeg,grid,0,31,0.8780078895463511
qsar-biodeg,grid,0,32,0.8780078895463511
qsar-biodeg,grid,0,33,0.8780078895463511
qsar-biodeg,grid,0,34,0.8780078895463511
qsar-biodeg,grid,0,35,0.8791983657368274
qsar-biodeg,grid,0,36,0.8815581854043394
qsar-biodeg,grid,0,37,0.8815581854043394
qsar-biodeg,grid,0,38,0.8815581854043394
qsar-biodeg,grid,0,39,0.8815581854043394
qsar-biodeg,grid,0,40,0.8815581854043394
qsar-biodeg,grid,0,41,0.8815581854043394
qsar-biodeg,grid,0,42,0.8815581854043394
qsar-biodeg,grid,0,43,0.8815581854043394
qsar-biodeg,grid,0,44,0.8815581854043394
qsar-biodeg,grid,0,45,0.8815581854043394
qsar-biodeg,grid,0,46,0.89339954916878
qsar-biodeg,grid,0,47,0.89339954916878
qsar-biodeg,grid,0,48,0.89339954916878
qsar-biodeg,grid,0,49,0.89339954916878
qsar-biodeg,grid,0,50,0.89339954916878
qsar-biodeg,grid,0,51,0.89339954916878
qsar-biodeg,grid,0,52,0.89339954916878
